Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.969 
.0000000 ,1.000 ,.959 
.0000000 ,1.000 ,.949 
.0000000 ,1.000 ,.939 
.0000000 ,1.000 ,.929 
.0000000 ,1.000 ,.918 
.0000000 ,1.000 ,.908 
.0000000 ,1.000 ,.898 
.0000000 ,1.000 ,.888 
.0000000 ,1.000 ,.878 
.0000000 ,1.000 ,.867 
.0000000 ,1.000 ,.857 
.0000000 ,1.000 ,.847 
.0000000 ,1.000 ,.837 
.0000000 ,1.000 ,.827 
.0000000 ,1.000 ,.816 
.0000000 ,1.000 ,.806 
.0000000 ,1.000 ,.796 
.0000000 ,1.000 ,.786 
.0000000 ,1.000 ,.776 
.0000000 ,1.000 ,.765 
.0000000 ,1.000 ,.755 
.0000000 ,1.000 ,.745 
.0000001 ,1.000 ,.735 
.0000001 ,1.000 ,.724 
.0000001 ,1.000 ,.714 
.0000001 ,1.000 ,.704 
.0000001 ,1.000 ,.694 
.0000002 ,1.000 ,.684 
.0000002 ,1.000 ,.673 
.0000002 ,1.000 ,.663 
.0000002 ,1.000 ,.653 
.0000003 ,1.000 ,.643 
.0000003 ,1.000 ,.633 
.0000004 ,1.000 ,.622 
.0000007 ,1.000 ,.612 
.0000009 ,1.000 ,.602 
.0000014 ,1.000 ,.592 
.0000022 ,1.000 ,.582 
.0000025 ,1.000 ,.571 
.0000027 ,1.000 ,.561 
.0000030 ,1.000 ,.551 
.0000032 ,1.000 ,.541 
.0000033 ,1.000 ,.531 
.0000042 ,1.000 ,.520 
.0000050 ,1.000 ,.510 
.0000057 ,1.000 ,.500 
.0000067 ,1.000 ,.490 
.0000109 ,1.000 ,.480 
.0000272 ,1.000 ,.469 
.0000491 ,1.000 ,.459 
.0000602 ,1.000 ,.449 
.0001484 ,1.000 ,.439 
.0002540 ,1.000 ,.429 
.0002955 ,1.000 ,.418 
.0003831 ,1.000 ,.408 
.0005251 ,1.000 ,.398 
.0006388 ,1.000 ,.388 
.0006863 ,1.000 ,.378 
.0007061 ,1.000 ,.367 
.0008385 ,1.000 ,.357 
.0010462 ,1.000 ,.347 
.0012603 ,1.000 ,.337 
.0015270 ,1.000 ,.327 
.0018127 ,1.000 ,.316 
.0020253 ,1.000 ,.306 
.0021127 ,1.000 ,.296 
.0021393 ,1.000 ,.286 
.0022393 ,1.000 ,.276 
.0027816 ,1.000 ,.265 
.0033603 ,1.000 ,.255 
.0036100 ,1.000 ,.245 
.0039716 ,1.000 ,.235 
.0042508 ,1.000 ,.224 
.0049241 ,1.000 ,.214 
.0057581 ,1.000 ,.204 
.0064126 ,1.000 ,.194 
.0074095 ,1.000 ,.184 
.0092198 ,1.000 ,.173 
.0200288 ,1.000 ,.163 
.0310202 ,1.000 ,.153 
.0387617 ,1.000 ,.143 
.0462419 ,1.000 ,.133 
.0475122 ,1.000 ,.122 
.0503286 ,1.000 ,.112 
.0549893 ,1.000 ,.102 
.0583380 ,1.000 ,.092 
.0677028 ,1.000 ,.082 
.0759959 ,1.000 ,.071 
.0852700 ,1.000 ,.061 
.1540138 ,1.000 ,.051 
.2452498 ,1.000 ,.041 
.3031440 ,1.000 ,.031 
.3424082 ,1.000 ,.020 
.4101172 ,.977 ,.020 
.4929266 ,.955 ,.020 
.5878276 ,.932 ,.020 
.7240066 ,.932 ,.010 
.8047605 ,.909 ,.010 
.8223660 ,.886 ,.010 
.8363649 ,.864 ,.010 
.8476104 ,.841 ,.010 
.8875180 ,.818 ,.010 
.9274568 ,.795 ,.010 
.9402242 ,.773 ,.010 
.9504873 ,.750 ,.010 
.9531175 ,.727 ,.010 
.9557325 ,.705 ,.010 
.9584290 ,.682 ,.010 
.9677767 ,.659 ,.010 
.9761138 ,.636 ,.010 
.9785749 ,.614 ,.010 
.9801454 ,.591 ,.010 
.9803913 ,.568 ,.010 
.9806420 ,.545 ,.010 
.9825546 ,.523 ,.010 
.9855185 ,.500 ,.010 
.9867514 ,.477 ,.010 
.9879978 ,.455 ,.010 
.9894657 ,.432 ,.010 
.9903461 ,.409 ,.010 
.9922381 ,.386 ,.010 
.9936709 ,.364 ,.010 
.9939033 ,.341 ,.010 
.9941418 ,.318 ,.010 
.9945063 ,.295 ,.010 
.9952397 ,.273 ,.010 
.9958819 ,.250 ,.010 
.9961032 ,.227 ,.010 
.9962098 ,.205 ,.010 
.9964196 ,.182 ,.010 
.9965327 ,.159 ,.010 
.9965394 ,.136 ,.010 
.9966067 ,.136 ,.000 
.9967039 ,.114 ,.000 
.9967944 ,.091 ,.000 
.9969693 ,.068 ,.000 
.9974416 ,.045 ,.000 
.9981199 ,.023 ,.000 
1.0000000 ,.000 ,.000 
