Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0017886,0.98,1
0.0021837,0.961,1
0.0069787,0.941,1
0.019879,0.922,1
0.0343423,0.922,0.993
0.0424808,0.922,0.987
0.0495118,0.922,0.98
0.0579469,0.922,0.973
0.0638676,0.922,0.967
0.0664679,0.922,0.96
0.0667227,0.922,0.953
0.0670909,0.902,0.953
0.0718232,0.902,0.947
0.0811393,0.902,0.94
0.0865172,0.902,0.933
0.0874183,0.902,0.927
0.0884282,0.902,0.92
0.091344,0.902,0.913
0.0952793,0.902,0.907
0.0994088,0.902,0.9
0.1037911,0.902,0.893
0.1075441,0.902,0.887
0.1101701,0.882,0.887
0.1111832,0.882,0.88
0.1118569,0.882,0.873
0.1126945,0.882,0.867
0.1134824,0.882,0.86
0.1161319,0.882,0.853
0.1188389,0.882,0.847
0.119503,0.882,0.84
0.1224372,0.882,0.833
0.1264589,0.882,0.827
0.1280444,0.882,0.82
0.1286739,0.882,0.813
0.1290164,0.882,0.807
0.1297661,0.882,0.8
0.1312692,0.882,0.793
0.1325823,0.882,0.787
0.1336382,0.882,0.78
0.1348465,0.882,0.773
0.1364095,0.882,0.767
0.1406691,0.882,0.76
0.1449281,0.882,0.753
0.1460953,0.882,0.747
0.1469298,0.882,0.74
0.1487336,0.882,0.733
0.1501125,0.882,0.727
0.1509271,0.863,0.727
0.1516997,0.863,0.72
0.1519737,0.863,0.713
0.1523719,0.843,0.713
0.1537434,0.843,0.707
0.1550614,0.843,0.7
0.1553822,0.843,0.693
0.1557833,0.843,0.687
0.1565796,0.843,0.68
0.1584822,0.843,0.673
0.1600335,0.843,0.667
0.1605168,0.843,0.66
0.1607873,0.843,0.653
0.1611993,0.843,0.647
0.1620197,0.843,0.64
0.1631327,0.843,0.633
0.1641094,0.843,0.627
0.1648109,0.843,0.62
0.1655012,0.843,0.613
0.1680183,0.843,0.607
0.1705367,0.843,0.6
0.1710358,0.843,0.593
0.1714634,0.843,0.587
0.1717546,0.843,0.58
0.172177,0.843,0.573
0.172545,0.843,0.567
0.1730199,0.843,0.56
0.1738369,0.843,0.553
0.1749614,0.843,0.547
0.1759178,0.843,0.54
0.1762029,0.843,0.533
0.1776537,0.843,0.527
0.1802482,0.843,0.52
0.1817413,0.843,0.513
0.1821565,0.843,0.507
0.1823872,0.843,0.5
0.1827975,0.843,0.493
0.183213,0.843,0.487
0.184491,0.843,0.48
0.1857192,0.843,0.473
0.1868059,0.843,0.467
0.1882859,0.843,0.46
0.188894,0.843,0.453
0.1892999,0.843,0.447
0.1919905,0.843,0.44
0.1947027,0.843,0.433
0.1977729,0.843,0.427
0.2008194,0.843,0.42
0.2011351,0.843,0.413
0.203612,0.843,0.407
0.209077,0.843,0.4
0.2123183,0.843,0.393
0.2137358,0.843,0.387
0.2164338,0.843,0.38
0.2206007,0.843,0.373
0.2260685,0.843,0.367
0.2321735,0.843,0.36
0.2380989,0.824,0.36
0.2427527,0.824,0.353
0.2454076,0.824,0.347
0.2461618,0.824,0.34
0.2478497,0.824,0.333
0.2515093,0.824,0.327
0.2536955,0.824,0.32
0.2540262,0.824,0.313
0.257688,0.824,0.307
0.262433,0.824,0.3
0.2647106,0.824,0.293
0.2681373,0.824,0.287
0.2713308,0.824,0.28
0.2740827,0.824,0.273
0.2763209,0.824,0.267
0.2770923,0.824,0.26
0.2779977,0.824,0.253
0.2794144,0.824,0.247
0.2891639,0.824,0.24
0.297799,0.824,0.233
0.2993091,0.804,0.233
0.3025088,0.804,0.227
0.3060982,0.804,0.22
0.3080854,0.804,0.213
0.3096124,0.804,0.207
0.3115509,0.804,0.2
0.3122892,0.804,0.193
0.3127953,0.804,0.187
0.3142944,0.804,0.18
0.3164242,0.784,0.18
0.3181545,0.784,0.173
0.3191237,0.784,0.167
0.3195899,0.784,0.16
0.3206515,0.784,0.153
0.3229087,0.784,0.147
0.3247458,0.784,0.14
0.3253582,0.784,0.133
0.3267465,0.784,0.127
0.328289,0.784,0.12
0.3298435,0.784,0.113
0.3313603,0.765,0.113
0.3322417,0.765,0.107
0.3350286,0.765,0.1
0.3383362,0.745,0.1
0.3405773,0.745,0.093
0.3421637,0.725,0.093
0.3439964,0.725,0.087
0.3462238,0.725,0.08
0.3501617,0.725,0.073
0.3538788,0.706,0.073
0.3557529,0.706,0.067
0.357624,0.706,0.06
0.3582737,0.706,0.053
0.3598832,0.706,0.047
0.3619871,0.686,0.047
0.3657303,0.686,0.04
0.3752276,0.686,0.033
0.387563,0.686,0.027
0.3946166,0.667,0.027
0.3987991,0.667,0.02
0.4046151,0.667,0.013
0.4078438,0.647,0.013
0.4143807,0.627,0.013
0.4231508,0.608,0.013
0.4295341,0.588,0.013
0.4333752,0.569,0.013
0.4341605,0.549,0.013
0.4352733,0.529,0.013
0.43902,0.51,0.013
0.4433584,0.49,0.013
0.4467905,0.471,0.013
0.449392,0.451,0.013
0.4500542,0.431,0.013
0.4528978,0.412,0.013
0.4625463,0.392,0.013
0.4712491,0.373,0.013
0.4727737,0.353,0.013
0.4754817,0.333,0.013
0.4787593,0.314,0.013
0.4836525,0.294,0.013
0.4897869,0.275,0.013
0.4935396,0.255,0.013
0.4962568,0.235,0.013
0.4978446,0.216,0.013
0.4992511,0.196,0.013
0.5001485,0.176,0.013
0.5039093,0.176,0.007
0.5075565,0.176,0
0.5110522,0.157,0
0.519875,0.137,0
0.5265576,0.118,0
0.5278287,0.098,0
0.5344793,0.078,0
0.5468944,0.059,0
0.5552844,0.039,0
0.5599369,0.02,0
1,0,0
