Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000000 ,1.000 ,.960 
.0000000 ,1.000 ,.950 
.0000000 ,1.000 ,.941 
.0000000 ,1.000 ,.931 
.0000000 ,1.000 ,.921 
.0000000 ,1.000 ,.911 
.0000000 ,1.000 ,.901 
.0000000 ,1.000 ,.891 
.0000000 ,1.000 ,.881 
.0000000 ,1.000 ,.871 
.0000000 ,1.000 ,.861 
.0000000 ,1.000 ,.851 
.0000000 ,1.000 ,.842 
.0000000 ,1.000 ,.832 
.0000000 ,1.000 ,.822 
.0000000 ,1.000 ,.812 
.0000000 ,1.000 ,.802 
.0000000 ,1.000 ,.792 
.0000000 ,1.000 ,.782 
.0000000 ,1.000 ,.772 
.0000000 ,1.000 ,.762 
.0000000 ,1.000 ,.752 
.0000000 ,1.000 ,.743 
.0000000 ,1.000 ,.733 
.0000000 ,1.000 ,.723 
.0000000 ,1.000 ,.713 
.0000000 ,1.000 ,.703 
.0000000 ,1.000 ,.693 
.0000000 ,1.000 ,.683 
.0000000 ,1.000 ,.673 
.0000000 ,1.000 ,.663 
.0000000 ,1.000 ,.653 
.0000000 ,1.000 ,.644 
.0000000 ,1.000 ,.634 
.0000000 ,1.000 ,.624 
.0000000 ,1.000 ,.614 
.0000000 ,1.000 ,.604 
.0000000 ,1.000 ,.594 
.0000000 ,1.000 ,.584 
.0000001 ,1.000 ,.574 
.0000001 ,1.000 ,.564 
.0000001 ,1.000 ,.554 
.0000001 ,1.000 ,.545 
.0000001 ,1.000 ,.535 
.0000001 ,1.000 ,.525 
.0000003 ,1.000 ,.515 
.0000004 ,1.000 ,.505 
.0000005 ,1.000 ,.495 
.0000006 ,1.000 ,.485 
.0000007 ,1.000 ,.475 
.0000008 ,1.000 ,.465 
.0000010 ,1.000 ,.455 
.0000011 ,1.000 ,.446 
.0000014 ,1.000 ,.436 
.0000021 ,1.000 ,.426 
.0000027 ,1.000 ,.416 
.0000030 ,1.000 ,.406 
.0000031 ,1.000 ,.396 
.0000043 ,1.000 ,.386 
.0000055 ,1.000 ,.376 
.0000058 ,1.000 ,.366 
.0000098 ,1.000 ,.356 
.0000148 ,1.000 ,.347 
.0000171 ,1.000 ,.337 
.0000197 ,1.000 ,.327 
.0000227 ,1.000 ,.317 
.0000494 ,1.000 ,.307 
.0000790 ,1.000 ,.297 
.0000891 ,1.000 ,.287 
.0001050 ,1.000 ,.277 
.0001249 ,1.000 ,.267 
.0001621 ,1.000 ,.257 
.0002128 ,1.000 ,.248 
.0002570 ,1.000 ,.238 
.0002843 ,1.000 ,.228 
.0002954 ,1.000 ,.218 
.0003127 ,1.000 ,.208 
.0003327 ,1.000 ,.198 
.0003566 ,1.000 ,.188 
.0004079 ,1.000 ,.178 
.0004943 ,1.000 ,.168 
.0006477 ,1.000 ,.158 
.0007509 ,1.000 ,.149 
.0009932 ,1.000 ,.139 
.0012339 ,1.000 ,.129 
.0018350 ,1.000 ,.119 
.0024555 ,1.000 ,.109 
.0048957 ,1.000 ,.099 
.0096887 ,1.000 ,.089 
.0267571 ,1.000 ,.079 
.0488662 ,.978 ,.079 
.0898317 ,.978 ,.069 
.1247224 ,.978 ,.059 
.1441730 ,.978 ,.050 
.1997612 ,.978 ,.040 
.2406412 ,.978 ,.030 
.2528545 ,.978 ,.020 
.4072743 ,.978 ,.010 
.5617457 ,.957 ,.010 
.6975196 ,.957 ,.000 
.8898596 ,.935 ,.000 
.9582815 ,.913 ,.000 
.9645321 ,.891 ,.000 
.9710004 ,.870 ,.000 
.9750335 ,.848 ,.000 
.9780237 ,.826 ,.000 
.9834711 ,.804 ,.000 
.9879110 ,.783 ,.000 
.9927641 ,.761 ,.000 
.9968809 ,.739 ,.000 
.9976413 ,.717 ,.000 
.9982392 ,.696 ,.000 
.9985472 ,.674 ,.000 
.9986495 ,.652 ,.000 
.9988258 ,.630 ,.000 
.9989578 ,.609 ,.000 
.9990747 ,.587 ,.000 
.9991964 ,.565 ,.000 
.9992244 ,.543 ,.000 
.9992720 ,.522 ,.000 
.9993297 ,.500 ,.000 
.9993502 ,.478 ,.000 
.9993598 ,.457 ,.000 
.9994194 ,.435 ,.000 
.9995051 ,.413 ,.000 
.9995577 ,.391 ,.000 
.9995927 ,.370 ,.000 
.9996622 ,.348 ,.000 
.9997403 ,.326 ,.000 
.9997942 ,.304 ,.000 
.9998336 ,.283 ,.000 
.9998639 ,.261 ,.000 
.9998880 ,.239 ,.000 
.9998979 ,.217 ,.000 
.9999055 ,.196 ,.000 
.9999102 ,.174 ,.000 
.9999181 ,.152 ,.000 
.9999321 ,.130 ,.000 
.9999457 ,.109 ,.000 
.9999540 ,.087 ,.000 
.9999624 ,.065 ,.000 
.9999786 ,.043 ,.000 
.9999891 ,.022 ,.000 
1.0000000 ,.000 ,.000 
