Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0237531,0.98,1
0.0299992,0.961,1
0.0398991,0.941,1
0.0559822,0.922,1
0.0725872,0.902,1
0.099951,0.882,1
0.123269,0.882,0.993
0.1288052,0.882,0.987
0.1331577,0.882,0.98
0.1378725,0.882,0.973
0.1438582,0.882,0.967
0.147702,0.882,0.96
0.152115,0.882,0.953
0.1577432,0.882,0.947
0.162371,0.882,0.94
0.1633436,0.882,0.933
0.1635239,0.882,0.927
0.1646206,0.882,0.92
0.167684,0.863,0.92
0.1698905,0.843,0.92
0.1704866,0.843,0.913
0.1724668,0.843,0.907
0.1762526,0.843,0.9
0.179714,0.843,0.893
0.1816541,0.843,0.887
0.183047,0.843,0.88
0.1837967,0.843,0.873
0.1839507,0.843,0.867
0.1852414,0.843,0.86
0.1868161,0.843,0.853
0.1874597,0.843,0.847
0.1893599,0.824,0.847
0.1912117,0.824,0.84
0.1930933,0.824,0.833
0.1947344,0.824,0.827
0.194838,0.824,0.82
0.1959437,0.824,0.813
0.1970618,0.824,0.807
0.1972448,0.824,0.8
0.1975677,0.824,0.793
0.1982326,0.824,0.787
0.1998319,0.824,0.78
0.2014979,0.824,0.773
0.2020816,0.824,0.767
0.2027009,0.824,0.76
0.2033261,0.824,0.753
0.2036195,0.824,0.747
0.2039834,0.824,0.74
0.2044469,0.824,0.733
0.2066813,0.824,0.727
0.2103881,0.824,0.72
0.2126824,0.824,0.713
0.213377,0.824,0.707
0.2137163,0.824,0.7
0.2141076,0.824,0.693
0.2146193,0.824,0.687
0.2151691,0.824,0.68
0.2157005,0.824,0.673
0.2160493,0.824,0.667
0.2163013,0.824,0.66
0.2167257,0.824,0.653
0.2179147,0.824,0.647
0.219031,0.824,0.64
0.2194556,0.824,0.633
0.2197977,0.824,0.627
0.2205404,0.824,0.62
0.2213585,0.824,0.613
0.2224193,0.824,0.607
0.2236066,0.824,0.6
0.2239871,0.824,0.593
0.2254844,0.824,0.587
0.226969,0.824,0.58
0.2275468,0.824,0.573
0.2284665,0.824,0.567
0.2292345,0.824,0.56
0.2297317,0.824,0.553
0.2300056,0.824,0.547
0.2301559,0.824,0.54
0.2309941,0.824,0.533
0.2325471,0.824,0.527
0.233357,0.824,0.52
0.23383,0.824,0.513
0.2349571,0.824,0.507
0.2361414,0.824,0.5
0.2366782,0.824,0.493
0.236858,0.824,0.487
0.2371312,0.824,0.48
0.2381946,0.824,0.473
0.239157,0.824,0.467
0.2400486,0.824,0.46
0.2409505,0.824,0.453
0.2414148,0.824,0.447
0.2423283,0.824,0.44
0.2430121,0.824,0.433
0.2431978,0.824,0.427
0.243893,0.824,0.42
0.2460103,0.824,0.413
0.2479881,0.824,0.407
0.2495331,0.824,0.4
0.2505713,0.824,0.393
0.2510032,0.824,0.387
0.2520532,0.804,0.387
0.2530358,0.804,0.38
0.2536533,0.804,0.373
0.254219,0.804,0.367
0.2545744,0.804,0.36
0.2551034,0.804,0.353
0.2559923,0.804,0.347
0.2569376,0.804,0.34
0.2575546,0.804,0.333
0.2579618,0.804,0.327
0.2592281,0.784,0.327
0.2607087,0.765,0.327
0.2625968,0.765,0.32
0.2643767,0.765,0.313
0.2661453,0.765,0.307
0.2675223,0.745,0.307
0.2677663,0.745,0.3
0.2685739,0.745,0.293
0.2692934,0.725,0.293
0.2700365,0.725,0.287
0.271838,0.706,0.287
0.2737528,0.706,0.28
0.2747077,0.706,0.273
0.2752936,0.706,0.267
0.2757558,0.706,0.26
0.2759322,0.706,0.253
0.2765215,0.706,0.247
0.2775403,0.706,0.24
0.2780764,0.706,0.233
0.2782059,0.706,0.227
0.2799166,0.706,0.22
0.282661,0.706,0.213
0.2842873,0.706,0.207
0.2855926,0.706,0.2
0.2864402,0.686,0.2
0.2868247,0.686,0.193
0.2876701,0.686,0.187
0.2881885,0.667,0.187
0.2891051,0.667,0.18
0.2907046,0.667,0.173
0.2919648,0.667,0.167
0.2926117,0.667,0.16
0.2930316,0.667,0.153
0.2934174,0.667,0.147
0.293558,0.667,0.14
0.2943831,0.667,0.133
0.2951978,0.667,0.127
0.2953222,0.667,0.12
0.2956287,0.667,0.113
0.2971709,0.667,0.107
0.2986085,0.667,0.1
0.3016264,0.667,0.093
0.3050834,0.667,0.087
0.3058394,0.667,0.08
0.3079051,0.667,0.073
0.3107615,0.667,0.067
0.3121451,0.667,0.06
0.3125918,0.667,0.053
0.312768,0.667,0.047
0.3139493,0.647,0.047
0.315076,0.627,0.047
0.3156625,0.627,0.04
0.3170604,0.627,0.033
0.3219234,0.627,0.027
0.3279462,0.608,0.027
0.3307224,0.588,0.027
0.3315131,0.569,0.027
0.3330676,0.569,0.02
0.3360303,0.549,0.02
0.3401646,0.529,0.02
0.3439923,0.51,0.02
0.3471129,0.51,0.013
0.3493973,0.49,0.013
0.3498451,0.471,0.013
0.3507065,0.451,0.013
0.3547252,0.431,0.013
0.3580199,0.412,0.013
0.3586107,0.392,0.013
0.3594075,0.373,0.013
0.3605018,0.353,0.013
0.3625239,0.333,0.013
0.3660698,0.314,0.013
0.3687625,0.294,0.013
0.3691496,0.275,0.013
0.3695964,0.255,0.013
0.3701121,0.255,0.007
0.372068,0.235,0.007
0.3738911,0.216,0.007
0.3741359,0.196,0.007
0.3760772,0.176,0.007
0.3789295,0.157,0.007
0.3814463,0.157,0
0.3832537,0.137,0
0.386681,0.118,0
0.3902697,0.098,0
0.3928438,0.078,0
0.3983266,0.059,0
0.4022953,0.039,0
0.4057121,0.02,0
1,0,0
