Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0,1,0.99
0,1,0.98
0,1,0.97
0,1,0.96
0,1,0.95
0,1,0.94
0,1,0.93
0,1,0.92
0,1,0.91
0,1,0.9
0,1,0.89
0,1,0.88
0,1,0.87
0,1,0.86
0,1,0.85
0,1,0.84
0,1,0.83
0,1,0.82
0,1,0.81
0,1,0.8
0,1,0.79
0,1,0.78
0,1,0.77
0,1,0.76
0,1,0.75
0,1,0.74
0,1,0.73
0,1,0.72
0,1,0.71
0,1,0.7
0,1,0.69
0,1,0.68
0,1,0.67
0,1,0.66
0,1,0.65
0,1,0.64
0,1,0.63
0,1,0.62
0,1,0.61
0,1,0.6
0,1,0.59
0,1,0.58
0,1,0.57
0.0000001,1,0.56
0.0000001,1,0.55
0.0000001,1,0.54
0.0000001,1,0.53
0.0000001,1,0.52
0.0000002,1,0.51
0.0000002,1,0.5
0.0000002,1,0.49
0.0000003,1,0.48
0.0000005,1,0.47
0.0000009,1,0.46
0.0000015,1,0.45
0.0000021,1,0.44
0.0000027,1,0.43
0.0000039,1,0.42
0.0000058,1,0.41
0.0000082,1,0.4
0.0000113,1,0.39
0.0000135,1,0.38
0.0000145,1,0.37
0.0000181,1,0.36
0.0000231,1,0.35
0.0000316,1,0.34
0.0000489,1,0.33
0.0000703,1,0.32
0.0000876,1,0.31
0.0001177,1,0.3
0.0001546,1,0.29
0.0001914,1,0.28
0.0003231,1,0.27
0.0004656,1,0.26
0.0005855,1,0.25
0.0007483,1,0.24
0.0008803,1,0.23
0.0010296,1,0.22
0.0013516,1,0.21
0.0015992,1,0.2
0.0020557,1,0.19
0.0027256,1,0.18
0.0029786,1,0.17
0.0030039,1,0.16
0.0038198,1,0.15
0.005161,1,0.14
0.0058155,1,0.13
0.0063077,1,0.12
0.0083726,1,0.11
0.0119738,1,0.1
0.0175746,1,0.09
0.0355668,1,0.08
0.0503402,1,0.07
0.0589237,1,0.06
0.1007915,1,0.05
0.1722954,1,0.04
0.2429549,0.978,0.04
0.2862986,0.957,0.04
0.3402878,0.957,0.03
0.3878485,0.957,0.02
0.5017995,0.957,0.01
0.6649925,0.935,0.01
0.7395506,0.935,0
0.8703418,0.913,0
0.9868843,0.891,0
0.9944554,0.87,0
0.9967213,0.848,0
0.9985771,0.826,0
0.9987634,0.804,0
0.9989478,0.783,0
0.9991527,0.761,0
0.9994523,0.739,0
0.9996555,0.717,0
0.9996864,0.696,0
0.9997381,0.674,0
0.9998151,0.652,0
0.9998572,0.63,0
0.9998662,0.609,0
0.9998789,0.587,0
0.9998985,0.565,0
0.9999143,0.543,0
0.9999245,0.522,0
0.9999307,0.5,0
0.9999347,0.478,0
0.9999401,0.457,0
0.9999436,0.435,0
0.9999457,0.413,0
0.9999466,0.391,0
0.9999477,0.37,0
0.999951,0.348,0
0.9999553,0.326,0
0.9999588,0.304,0
0.9999652,0.283,0
0.9999699,0.261,0
0.9999724,0.239,0
0.9999767,0.217,0
0.999979,0.196,0
0.9999796,0.174,0
0.9999801,0.152,0
0.9999848,0.13,0
0.9999901,0.109,0
0.9999941,0.087,0
0.9999973,0.065,0
0.9999976,0.043,0
0.9999978,0.022,0
1,0,0
