Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0000003,1,0.99
0.0000005,1,0.98
0.0000007,1,0.97
0.0000008,1,0.96
0.0000008,1,0.95
0.0000014,1,0.94
0.0000019,1,0.93
0.0000025,1,0.92
0.0000033,1,0.91
0.0000034,1,0.9
0.0000041,1,0.89
0.0000051,1,0.88
0.0000109,1,0.87
0.0000168,1,0.86
0.0000175,1,0.85
0.0000186,1,0.84
0.0000203,1,0.83
0.0000215,1,0.82
0.0000232,1,0.81
0.0000253,1,0.8
0.0000292,1,0.79
0.0000327,1,0.78
0.0000359,1,0.77
0.0000527,1,0.76
0.0000824,1,0.75
0.0001303,1,0.74
0.0001676,1,0.73
0.0001757,1,0.72
0.0001803,1,0.71
0.0002111,1,0.7
0.0002418,1,0.69
0.0002779,1,0.68
0.0003236,1,0.67
0.0003379,1,0.66
0.0003638,1,0.65
0.0004461,1,0.64
0.0005108,1,0.63
0.0005199,1,0.62
0.0005381,1,0.61
0.0006477,1,0.6
0.0007766,1,0.59
0.0008303,1,0.58
0.0008542,1,0.57
0.0009884,1,0.56
0.0011629,1,0.55
0.0012145,1,0.54
0.0012279,1,0.53
0.0014506,1,0.52
0.0016719,1,0.51
0.0018615,1,0.5
0.002224,1,0.49
0.0031305,1,0.48
0.0039325,1,0.47
0.0040416,1,0.46
0.0041478,0.98,0.46
0.0042308,0.98,0.45
0.0046769,0.98,0.44
0.0057533,0.98,0.43
0.0064017,0.98,0.42
0.006525,0.98,0.41
0.0069659,0.98,0.4
0.007319,0.98,0.39
0.0080525,0.98,0.38
0.0089925,0.98,0.37
0.0116772,0.98,0.36
0.0142235,0.98,0.35
0.0147115,0.98,0.34
0.0151084,0.98,0.33
0.0154684,0.98,0.32
0.0160925,0.98,0.31
0.0167289,0.98,0.3
0.019562,0.98,0.29
0.0223848,0.98,0.28
0.0227545,0.98,0.27
0.0307791,0.98,0.26
0.0415012,0.98,0.25
0.0450713,0.98,0.24
0.0464456,0.98,0.23
0.0509102,0.98,0.22
0.0561567,0.98,0.21
0.060305,0.98,0.2
0.0644151,0.98,0.19
0.0658915,0.98,0.18
0.067458,0.98,0.17
0.0719965,0.98,0.16
0.0825082,0.98,0.15
0.0994587,0.98,0.14
0.1183589,0.98,0.13
0.1291177,0.98,0.12
0.1632122,0.98,0.11
0.1961731,0.98,0.1
0.2018509,0.98,0.09
0.2074389,0.98,0.08
0.2369054,0.98,0.07
0.2840897,0.959,0.07
0.3142508,0.959,0.06
0.3266218,0.939,0.06
0.3783398,0.918,0.06
0.4711696,0.918,0.05
0.5374794,0.918,0.04
0.6291007,0.918,0.03
0.7420698,0.898,0.03
0.8152457,0.878,0.03
0.8466335,0.857,0.03
0.853295,0.837,0.03
0.8626613,0.816,0.03
0.8699773,0.816,0.02
0.8702203,0.796,0.02
0.8713125,0.776,0.02
0.8740648,0.776,0.01
0.8767446,0.755,0.01
0.8821554,0.735,0.01
0.8890529,0.714,0.01
0.8933995,0.694,0.01
0.8985096,0.673,0.01
0.9016822,0.653,0.01
0.9024742,0.633,0.01
0.9058931,0.612,0.01
0.9119225,0.592,0.01
0.9181335,0.571,0.01
0.9223198,0.551,0.01
0.9252949,0.531,0.01
0.9291049,0.51,0.01
0.9330032,0.49,0.01
0.9348429,0.469,0.01
0.9369747,0.449,0.01
0.9392132,0.449,0
0.9394868,0.429,0
0.9396149,0.408,0
0.9406784,0.388,0
0.9479273,0.367,0
0.9549775,0.347,0
0.9560392,0.327,0
0.9563311,0.306,0
0.9569534,0.286,0
0.957551,0.265,0
0.9580464,0.245,0
0.9599688,0.224,0
0.9616116,0.204,0
0.9629014,0.184,0
0.9646871,0.163,0
0.9656457,0.143,0
0.9665369,0.122,0
0.9706623,0.102,0
0.9745427,0.082,0
0.9749251,0.061,0
0.9753104,0.041,0
0.9787963,0.02,0
1,0,0
