bone,gender,b0m,b1m,b2m,b0s,b1s,b2s,b0b,b1b,b2b
femur,male,11.76,-9.7,0,9.09,0,-8.16,12.11,-12.08,2.14
femur,female,48.54,-37.58,0,34.85,0,-30.76,1776.9,-923.5,-489.8
tibia,male,11.07,-10.31,0,8.12,0,-7.99,11.26,-14.35,4.03
tibia,female,10.14,-10.35,0,6.47,0,-7.51,15.76,-35.07,21.06
fibula,male,10.18,-11.47,0,8.17,0,-11.08,10.5,-10.36,-1.67
fibula,female,9.51,-10.77,0,7.18,0,-9.49,9.8,-13.7,2.99
humerus,male,10.18,-9.8,0,7.76,0,-8.82,10.5,-11.22,1.27
humerus,female,11.89,-13.57,0,9,0,-12.15,13.15,5.01,-19.47
radius,male,8.38,-10.75,0,8.23,0,-12.72,8.31,-15.29,5.49
radius,female,6.45,-9.77,0,5.17,0,-9.37,6.5,-12.25,2.81
ulna,male,17.43,-22,0,16.67,0,-25.8,17.92,-16.42,-7.55
ulna,female,10.19,-15.96,0,12.2,0,-22.91,11.09,-9.28,-9.7
clavicle,male,10.28,-10.31,0,7.99,0,-9.71,10.35,-11.54,1.39
clavicle,female,3.1,-3.58,0,1.94,0,-2.85,3.57,-6.96,3.36
