bone,gender,type,probability,sensitivity,specificity
femur,male,mean,.0000000 ,1.000 ,1.000 
femur,male,mean,.0000000 ,1.000 ,.990 
femur,male,mean,.0000000 ,1.000 ,.980 
femur,male,mean,.0000000 ,1.000 ,.969 
femur,male,mean,.0000000 ,1.000 ,.959 
femur,male,mean,.0000000 ,1.000 ,.949 
femur,male,mean,.0000000 ,1.000 ,.939 
femur,male,mean,.0000000 ,1.000 ,.929 
femur,male,mean,.0000000 ,1.000 ,.918 
femur,male,mean,.0000000 ,1.000 ,.908 
femur,male,mean,.0000000 ,1.000 ,.898 
femur,male,mean,.0000000 ,1.000 ,.888 
femur,male,mean,.0000000 ,1.000 ,.878 
femur,male,mean,.0000000 ,1.000 ,.867 
femur,male,mean,.0000000 ,1.000 ,.857 
femur,male,mean,.0000000 ,1.000 ,.847 
femur,male,mean,.0000000 ,1.000 ,.837 
femur,male,mean,.0000000 ,1.000 ,.827 
femur,male,mean,.0000000 ,1.000 ,.816 
femur,male,mean,.0000000 ,1.000 ,.806 
femur,male,mean,.0000000 ,1.000 ,.796 
femur,male,mean,.0000000 ,1.000 ,.786 
femur,male,mean,.0000000 ,1.000 ,.776 
femur,male,mean,.0000000 ,1.000 ,.765 
femur,male,mean,.0000000 ,1.000 ,.755 
femur,male,mean,.0000000 ,1.000 ,.745 
femur,male,mean,.0000001 ,1.000 ,.735 
femur,male,mean,.0000001 ,1.000 ,.724 
femur,male,mean,.0000001 ,1.000 ,.714 
femur,male,mean,.0000001 ,1.000 ,.704 
femur,male,mean,.0000001 ,1.000 ,.694 
femur,male,mean,.0000002 ,1.000 ,.684 
femur,male,mean,.0000002 ,1.000 ,.673 
femur,male,mean,.0000002 ,1.000 ,.663 
femur,male,mean,.0000002 ,1.000 ,.653 
femur,male,mean,.0000003 ,1.000 ,.643 
femur,male,mean,.0000003 ,1.000 ,.633 
femur,male,mean,.0000004 ,1.000 ,.622 
femur,male,mean,.0000007 ,1.000 ,.612 
femur,male,mean,.0000009 ,1.000 ,.602 
femur,male,mean,.0000014 ,1.000 ,.592 
femur,male,mean,.0000022 ,1.000 ,.582 
femur,male,mean,.0000025 ,1.000 ,.571 
femur,male,mean,.0000027 ,1.000 ,.561 
femur,male,mean,.0000030 ,1.000 ,.551 
femur,male,mean,.0000032 ,1.000 ,.541 
femur,male,mean,.0000033 ,1.000 ,.531 
femur,male,mean,.0000042 ,1.000 ,.520 
femur,male,mean,.0000050 ,1.000 ,.510 
femur,male,mean,.0000057 ,1.000 ,.500 
femur,male,mean,.0000067 ,1.000 ,.490 
femur,male,mean,.0000109 ,1.000 ,.480 
femur,male,mean,.0000272 ,1.000 ,.469 
femur,male,mean,.0000491 ,1.000 ,.459 
femur,male,mean,.0000602 ,1.000 ,.449 
femur,male,mean,.0001484 ,1.000 ,.439 
femur,male,mean,.0002540 ,1.000 ,.429 
femur,male,mean,.0002955 ,1.000 ,.418 
femur,male,mean,.0003831 ,1.000 ,.408 
femur,male,mean,.0005251 ,1.000 ,.398 
femur,male,mean,.0006388 ,1.000 ,.388 
femur,male,mean,.0006863 ,1.000 ,.378 
femur,male,mean,.0007061 ,1.000 ,.367 
femur,male,mean,.0008385 ,1.000 ,.357 
femur,male,mean,.0010462 ,1.000 ,.347 
femur,male,mean,.0012603 ,1.000 ,.337 
femur,male,mean,.0015270 ,1.000 ,.327 
femur,male,mean,.0018127 ,1.000 ,.316 
femur,male,mean,.0020253 ,1.000 ,.306 
femur,male,mean,.0021127 ,1.000 ,.296 
femur,male,mean,.0021393 ,1.000 ,.286 
femur,male,mean,.0022393 ,1.000 ,.276 
femur,male,mean,.0027816 ,1.000 ,.265 
femur,male,mean,.0033603 ,1.000 ,.255 
femur,male,mean,.0036100 ,1.000 ,.245 
femur,male,mean,.0039716 ,1.000 ,.235 
femur,male,mean,.0042508 ,1.000 ,.224 
femur,male,mean,.0049241 ,1.000 ,.214 
femur,male,mean,.0057581 ,1.000 ,.204 
femur,male,mean,.0064126 ,1.000 ,.194 
femur,male,mean,.0074095 ,1.000 ,.184 
femur,male,mean,.0092198 ,1.000 ,.173 
femur,male,mean,.0200288 ,1.000 ,.163 
femur,male,mean,.0310202 ,1.000 ,.153 
femur,male,mean,.0387617 ,1.000 ,.143 
femur,male,mean,.0462419 ,1.000 ,.133 
femur,male,mean,.0475122 ,1.000 ,.122 
femur,male,mean,.0503286 ,1.000 ,.112 
femur,male,mean,.0549893 ,1.000 ,.102 
femur,male,mean,.0583380 ,1.000 ,.092 
femur,male,mean,.0677028 ,1.000 ,.082 
femur,male,mean,.0759959 ,1.000 ,.071 
femur,male,mean,.0852700 ,1.000 ,.061 
femur,male,mean,.1540138 ,1.000 ,.051 
femur,male,mean,.2452498 ,1.000 ,.041 
femur,male,mean,.3031440 ,1.000 ,.031 
femur,male,mean,.3424082 ,1.000 ,.020 
femur,male,mean,.4101172 ,.977 ,.020 
femur,male,mean,.4929266 ,.955 ,.020 
femur,male,mean,.5878276 ,.932 ,.020 
femur,male,mean,.7240066 ,.932 ,.010 
femur,male,mean,.8047605 ,.909 ,.010 
femur,male,mean,.8223660 ,.886 ,.010 
femur,male,mean,.8363649 ,.864 ,.010 
femur,male,mean,.8476104 ,.841 ,.010 
femur,male,mean,.8875180 ,.818 ,.010 
femur,male,mean,.9274568 ,.795 ,.010 
femur,male,mean,.9402242 ,.773 ,.010 
femur,male,mean,.9504873 ,.750 ,.010 
femur,male,mean,.9531175 ,.727 ,.010 
femur,male,mean,.9557325 ,.705 ,.010 
femur,male,mean,.9584290 ,.682 ,.010 
femur,male,mean,.9677767 ,.659 ,.010 
femur,male,mean,.9761138 ,.636 ,.010 
femur,male,mean,.9785749 ,.614 ,.010 
femur,male,mean,.9801454 ,.591 ,.010 
femur,male,mean,.9803913 ,.568 ,.010 
femur,male,mean,.9806420 ,.545 ,.010 
femur,male,mean,.9825546 ,.523 ,.010 
femur,male,mean,.9855185 ,.500 ,.010 
femur,male,mean,.9867514 ,.477 ,.010 
femur,male,mean,.9879978 ,.455 ,.010 
femur,male,mean,.9894657 ,.432 ,.010 
femur,male,mean,.9903461 ,.409 ,.010 
femur,male,mean,.9922381 ,.386 ,.010 
femur,male,mean,.9936709 ,.364 ,.010 
femur,male,mean,.9939033 ,.341 ,.010 
femur,male,mean,.9941418 ,.318 ,.010 
femur,male,mean,.9945063 ,.295 ,.010 
