bone,gender,type,probability,sensitivity,specificity
humerus,male,mean,0,1,1
humerus,male,mean,0,1,0.996
humerus,male,mean,0,1,0.991
humerus,male,mean,0,1,0.987
humerus,male,mean,0,1,0.978
humerus,male,mean,0,1,0.974
humerus,male,mean,0,1,0.97
humerus,male,mean,0,1,0.965
humerus,male,mean,0,1,0.961
humerus,male,mean,0,1,0.957
humerus,male,mean,0,1,0.952
humerus,male,mean,0,1,0.948
humerus,male,mean,0,1,0.943
humerus,male,mean,0,1,0.939
humerus,male,mean,0,1,0.935
humerus,male,mean,0,1,0.93
humerus,male,mean,0,1,0.926
humerus,male,mean,0,1,0.922
humerus,male,mean,0,1,0.917
humerus,male,mean,0,1,0.913
humerus,male,mean,0,1,0.909
humerus,male,mean,0,1,0.904
humerus,male,mean,0,1,0.9
humerus,male,mean,0,1,0.896
humerus,male,mean,0,1,0.891
humerus,male,mean,0,1,0.887
humerus,male,mean,0,1,0.883
humerus,male,mean,0,1,0.878
humerus,male,mean,0,1,0.874
humerus,male,mean,0,1,0.87
humerus,male,mean,0,1,0.865
humerus,male,mean,0,1,0.861
humerus,male,mean,0,1,0.857
humerus,male,mean,0,1,0.852
humerus,male,mean,0,1,0.848
humerus,male,mean,0,1,0.843
humerus,male,mean,0,1,0.839
humerus,male,mean,0,1,0.835
humerus,male,mean,0,1,0.83
humerus,male,mean,0,1,0.826
humerus,male,mean,0,1,0.822
humerus,male,mean,0,1,0.817
humerus,male,mean,0.0000001,1,0.813
humerus,male,mean,0.0000001,1,0.809
humerus,male,mean,0.0000001,1,0.8
humerus,male,mean,0.0000001,1,0.796
humerus,male,mean,0.0000001,1,0.791
humerus,male,mean,0.0000001,1,0.787
humerus,male,mean,0.0000001,1,0.783
humerus,male,mean,0.0000001,1,0.778
humerus,male,mean,0.0000002,1,0.774
humerus,male,mean,0.0000003,1,0.77
humerus,male,mean,0.0000003,1,0.765
humerus,male,mean,0.0000004,1,0.761
humerus,male,mean,0.0000004,1,0.757
humerus,male,mean,0.0000004,1,0.752
humerus,male,mean,0.0000005,1,0.748
humerus,male,mean,0.0000005,1,0.743
humerus,male,mean,0.0000005,1,0.739
humerus,male,mean,0.0000005,1,0.735
humerus,male,mean,0.0000006,1,0.73
humerus,male,mean,0.0000007,1,0.726
humerus,male,mean,0.0000008,1,0.722
humerus,male,mean,0.0000009,1,0.717
humerus,male,mean,0.0000011,1,0.713
humerus,male,mean,0.0000014,1,0.709
humerus,male,mean,0.0000016,1,0.704
humerus,male,mean,0.0000017,1,0.7
humerus,male,mean,0.000002,1,0.696
humerus,male,mean,0.0000024,1,0.691
humerus,male,mean,0.0000027,1,0.687
humerus,male,mean,0.000003,1,0.683
humerus,male,mean,0.0000035,1,0.678
humerus,male,mean,0.000004,1,0.674
humerus,male,mean,0.0000042,1,0.67
humerus,male,mean,0.0000045,1,0.665
humerus,male,mean,0.0000052,1,0.661
humerus,male,mean,0.0000058,1,0.657
humerus,male,mean,0.0000059,1,0.652
humerus,male,mean,0.000006,1,0.648
humerus,male,mean,0.0000076,1,0.643
humerus,male,mean,0.0000103,1,0.639
humerus,male,mean,0.0000117,1,0.635
humerus,male,mean,0.0000134,1,0.63
humerus,male,mean,0.000016,1,0.626
humerus,male,mean,0.0000174,1,0.622
humerus,male,mean,0.0000196,1,0.617
humerus,male,mean,0.0000223,1,0.609
humerus,male,mean,0.0000236,1,0.604
humerus,male,mean,0.0000278,1,0.6
humerus,male,mean,0.0000322,1,0.596
humerus,male,mean,0.0000351,1,0.591
humerus,male,mean,0.0000386,1,0.587
humerus,male,mean,0.0000426,1,0.583
humerus,male,mean,0.000046,1,0.578
humerus,male,mean,0.0000472,1,0.574
humerus,male,mean,0.0000503,1,0.57
humerus,male,mean,0.000055,1,0.565
humerus,male,mean,0.0000597,1,0.561
humerus,male,mean,0.0000636,1,0.557
humerus,male,mean,0.0000659,1,0.552
humerus,male,mean,0.000067,1,0.548
humerus,male,mean,0.00007,1,0.543
humerus,male,mean,0.0000811,1,0.539
humerus,male,mean,0.0000898,1,0.535
humerus,male,mean,0.0000926,1,0.53
humerus,male,mean,0.0001033,1,0.526
humerus,male,mean,0.0001277,1,0.522
humerus,male,mean,0.0001499,1,0.517
humerus,male,mean,0.0001635,1,0.513
humerus,male,mean,0.0001846,1,0.509
humerus,male,mean,0.0002007,1,0.504
humerus,male,mean,0.0002037,1,0.5
humerus,male,mean,0.000206,1,0.496
humerus,male,mean,0.0002128,1,0.491
humerus,male,mean,0.0002273,1,0.487
humerus,male,mean,0.000252,1,0.483
humerus,male,mean,0.0002899,1,0.478
humerus,male,mean,0.0003162,1,0.474
humerus,male,mean,0.0003292,1,0.47
humerus,male,mean,0.0003439,1,0.465
humerus,male,mean,0.0003705,1,0.461
humerus,male,mean,0.0004133,1,0.457
humerus,male,mean,0.0004429,1,0.452
humerus,male,mean,0.0004614,1,0.448
humerus,male,mean,0.0005291,1,0.443
humerus,male,mean,0.000594,1,0.439
humerus,male,mean,0.0006111,1,0.435
humerus,male,mean,0.0006943,1,0.43
humerus,male,mean,0.000774,1,0.426
humerus,male,mean,0.0008217,1,0.422
humerus,male,mean,0.0009341,1,0.417
humerus,male,mean,0.0010135,1,0.413
humerus,male,mean,0.0010328,1,0.409
humerus,male,mean,0.0010518,1,0.404
humerus,male,mean,0.0010825,1,0.4
humerus,male,mean,0.0011152,1,0.396
humerus,male,mean,0.0011505,1,0.391
humerus,male,mean,0.0012401,1,0.387
humerus,male,mean,0.0013188,0.987,0.387
humerus,male,mean,0.0013734,0.987,0.383
humerus,male,mean,0.0016187,0.987,0.378
humerus,male,mean,0.0018329,0.987,0.374
humerus,male,mean,0.0019665,0.987,0.37
humerus,male,mean,0.002097,0.987,0.365
humerus,male,mean,0.0021725,0.987,0.361
humerus,male,mean,0.0023787,0.987,0.357
humerus,male,mean,0.0025595,0.987,0.352
humerus,male,mean,0.0026198,0.987,0.348
humerus,male,mean,0.0027304,0.987,0.343
humerus,male,mean,0.0029596,0.987,0.339
humerus,male,mean,0.0033936,0.987,0.335
humerus,male,mean,0.0038355,0.987,0.33
humerus,male,mean,0.0043028,0.987,0.326
humerus,male,mean,0.0046363,0.987,0.322
humerus,male,mean,0.0046663,0.987,0.317
humerus,male,mean,0.0047175,0.987,0.313
humerus,male,mean,0.0048581,0.987,0.309
humerus,male,mean,0.0053355,0.987,0.304
humerus,male,mean,0.0057566,0.987,0.3
humerus,male,mean,0.0059514,0.987,0.296
humerus,male,mean,0.0066515,0.987,0.291
humerus,male,mean,0.0076916,0.987,0.287
humerus,male,mean,0.0085326,0.987,0.283
humerus,male,mean,0.0090577,0.987,0.278
humerus,male,mean,0.0095874,0.987,0.274
humerus,male,mean,0.0101029,0.987,0.27
humerus,male,mean,0.0104377,0.987,0.265
humerus,male,mean,0.0109113,0.987,0.261
humerus,male,mean,0.0112492,0.987,0.257
humerus,male,mean,0.0115134,0.987,0.252
humerus,male,mean,0.0123085,0.987,0.248
humerus,male,mean,0.0129853,0.987,0.243
humerus,male,mean,0.013252,0.987,0.239
humerus,male,mean,0.0144216,0.987,0.235
humerus,male,mean,0.0160181,0.987,0.23
humerus,male,mean,0.0167274,0.987,0.226
humerus,male,mean,0.0183468,0.987,0.222
humerus,male,mean,0.0209655,0.987,0.217
humerus,male,mean,0.0223154,0.987,0.213
humerus,male,mean,0.0244397,0.987,0.209
humerus,male,mean,0.0274669,0.987,0.204
humerus,male,mean,0.0288803,0.987,0.2
humerus,male,mean,0.030121,0.987,0.196
humerus,male,mean,0.0313605,0.987,0.191
humerus,male,mean,0.0331327,0.987,0.187
humerus,male,mean,0.0360215,0.987,0.183
humerus,male,mean,0.0379731,0.987,0.178
humerus,male,mean,0.0391264,0.987,0.174
humerus,male,mean,0.0421414,0.987,0.17
humerus,male,mean,0.0450828,0.987,0.165
humerus,male,mean,0.0488917,0.987,0.157
humerus,male,mean,0.0538832,0.987,0.152
