Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0,1,0.99
0.0000071,1,0.98
0.0000287,1,0.969
0.0000558,1,0.959
0.0000822,1,0.949
0.0001485,1,0.939
0.000232,1,0.929
0.0002916,1,0.918
0.0004303,1,0.908
0.0006127,1,0.898
0.0007248,1,0.888
0.0007774,1,0.878
0.00083,1,0.867
0.000924,1,0.857
0.0010213,1,0.847
0.001182,1,0.837
0.001407,1,0.827
0.0016624,1,0.816
0.0020056,1,0.806
0.0022703,1,0.796
0.0023836,0.978,0.796
0.002533,0.978,0.786
0.0027248,0.957,0.786
0.0029207,0.957,0.776
0.0030339,0.957,0.765
0.0041897,0.957,0.755
0.0054432,0.957,0.745
0.0055873,0.957,0.735
0.0061952,0.957,0.724
0.0082592,0.957,0.714
0.0101682,0.935,0.714
0.0108436,0.935,0.704
0.0118651,0.935,0.694
0.0129631,0.935,0.684
0.0134362,0.935,0.673
0.0136535,0.935,0.663
0.014134,0.935,0.653
0.0153109,0.935,0.643
0.0179869,0.935,0.633
0.0209866,0.935,0.622
0.0230439,0.935,0.612
0.0248178,0.935,0.602
0.0288623,0.935,0.592
0.0335758,0.935,0.582
0.0353937,0.935,0.571
0.0357214,0.935,0.561
0.0358442,0.935,0.551
0.0373723,0.935,0.541
0.0398557,0.935,0.531
0.042935,0.935,0.52
0.0458526,0.935,0.51
0.047757,0.935,0.5
0.0490383,0.935,0.49
0.049896,0.935,0.48
0.0507655,0.935,0.469
0.0510837,0.935,0.459
0.0536147,0.935,0.449
0.0563862,0.935,0.439
0.0636952,0.935,0.429
0.0714558,0.935,0.418
0.0725891,0.935,0.408
0.0730981,0.935,0.398
0.0739236,0.935,0.388
0.0792589,0.935,0.378
0.0841396,0.935,0.367
0.0862242,0.935,0.357
0.0880787,0.935,0.347
0.0884356,0.935,0.337
0.0888723,0.913,0.337
0.0926209,0.913,0.327
0.0976922,0.913,0.316
0.1001257,0.913,0.306
0.1021168,0.913,0.296
0.1044193,0.913,0.286
0.1070123,0.913,0.276
0.111976,0.913,0.265
0.1374449,0.913,0.255
0.1617175,0.913,0.245
0.1660535,0.913,0.235
0.1756119,0.913,0.224
0.1846108,0.913,0.214
0.1876849,0.913,0.204
0.1931813,0.913,0.194
0.1988131,0.913,0.184
0.2111865,0.913,0.173
0.2222834,0.913,0.163
0.2329869,0.913,0.153
0.2847442,0.913,0.143
0.3291712,0.913,0.133
0.3398143,0.913,0.122
0.3601647,0.913,0.112
0.3772427,0.913,0.102
0.3908491,0.913,0.092
0.4009346,0.913,0.082
0.4023548,0.891,0.082
0.4065639,0.891,0.071
0.4406497,0.891,0.061
0.4832712,0.87,0.061
0.4977302,0.87,0.051
0.5001172,0.87,0.041
0.5128524,0.848,0.041
0.5314577,0.826,0.041
0.5548063,0.826,0.031
0.572319,0.826,0.02
0.5915113,0.826,0.01
0.63531,0.826,0
0.660427,0.804,0
0.662347,0.783,0
0.7107068,0.761,0
0.7634668,0.739,0
0.7961711,0.717,0
0.8293205,0.696,0
0.8400649,0.674,0
0.8466281,0.652,0
0.8494399,0.63,0
0.8500649,0.609,0
0.8510448,0.587,0
0.8524001,0.565,0
0.8539889,0.543,0
0.8644682,0.522,0
0.8755531,0.5,0
0.8812738,0.478,0
0.8861834,0.457,0
0.8900724,0.435,0
0.893928,0.413,0
0.8993018,0.391,0
0.9040288,0.37,0
0.9054419,0.348,0
0.9070491,0.326,0
0.9077799,0.304,0
0.9088884,0.283,0
0.909992,0.261,0
0.912781,0.239,0
0.9159431,0.217,0
0.9216448,0.196,0
0.9321634,0.174,0
0.9389369,0.152,0
0.9400517,0.13,0
0.941552,0.109,0
0.9455296,0.087,0
0.9487041,0.065,0
0.9530337,0.043,0
0.9588302,0.022,0
1,0,0
