Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000049 ,1.000 ,.980 
.0000312 ,1.000 ,.969 
.0000658 ,1.000 ,.959 
.0000854 ,1.000 ,.949 
.0001172 ,1.000 ,.939 
.0001621 ,1.000 ,.929 
.0002099 ,1.000 ,.918 
.0002792 ,1.000 ,.908 
.0003585 ,1.000 ,.898 
.0005013 ,1.000 ,.888 
.0006418 ,1.000 ,.878 
.0007857 ,1.000 ,.867 
.0009933 ,1.000 ,.857 
.0011004 ,1.000 ,.847 
.0011319 ,1.000 ,.837 
.0012009 ,1.000 ,.827 
.0013879 ,1.000 ,.816 
.0016518 ,.978 ,.816 
.0018466 ,.978 ,.806 
.0019735 ,.978 ,.796 
.0024194 ,.978 ,.786 
.0029366 ,.978 ,.776 
.0030626 ,.978 ,.765 
.0031684 ,.978 ,.755 
.0033842 ,.978 ,.745 
.0035038 ,.978 ,.735 
.0057717 ,.957 ,.735 
.0085710 ,.957 ,.724 
.0102080 ,.957 ,.714 
.0117789 ,.935 ,.714 
.0126546 ,.935 ,.704 
.0133202 ,.935 ,.694 
.0136041 ,.935 ,.684 
.0143412 ,.935 ,.673 
.0156827 ,.935 ,.663 
.0171767 ,.935 ,.653 
.0194263 ,.935 ,.643 
.0214699 ,.935 ,.633 
.0236613 ,.935 ,.622 
.0285777 ,.935 ,.602 
.0324169 ,.935 ,.592 
.0335839 ,.935 ,.582 
.0343950 ,.935 ,.571 
.0386003 ,.935 ,.561 
.0427968 ,.935 ,.551 
.0429639 ,.935 ,.541 
.0441787 ,.935 ,.531 
.0457623 ,.935 ,.520 
.0462528 ,.935 ,.510 
.0477021 ,.935 ,.500 
.0495017 ,.935 ,.490 
.0506105 ,.935 ,.480 
.0525032 ,.935 ,.469 
.0551347 ,.935 ,.459 
.0576660 ,.913 ,.459 
.0591408 ,.913 ,.449 
.0617268 ,.913 ,.439 
.0666929 ,.913 ,.429 
.0709207 ,.913 ,.418 
.0732497 ,.913 ,.408 
.0763006 ,.913 ,.398 
.0790863 ,.913 ,.388 
.0816547 ,.913 ,.378 
.0875484 ,.913 ,.367 
.0916918 ,.913 ,.357 
.0920964 ,.913 ,.347 
.0951183 ,.913 ,.337 
.1014393 ,.913 ,.327 
.1062681 ,.913 ,.316 
.1108877 ,.913 ,.306 
.1217957 ,.913 ,.296 
.1341758 ,.913 ,.286 
.1431617 ,.913 ,.276 
.1493355 ,.913 ,.265 
.1621318 ,.913 ,.255 
.1740417 ,.913 ,.245 
.1784415 ,.913 ,.235 
.1830605 ,.913 ,.224 
.1963169 ,.913 ,.214 
.2116632 ,.913 ,.204 
.2318670 ,.913 ,.194 
.2526216 ,.913 ,.184 
.2728929 ,.913 ,.173 
.2909277 ,.913 ,.163 
.2953093 ,.913 ,.153 
.2996754 ,.913 ,.143 
.3036234 ,.913 ,.133 
.3087058 ,.913 ,.122 
.3152465 ,.913 ,.112 
.3202645 ,.891 ,.112 
.3230474 ,.891 ,.102 
.3273973 ,.891 ,.092 
.3428225 ,.891 ,.082 
.3684825 ,.891 ,.071 
.4141189 ,.891 ,.061 
.4502156 ,.870 ,.061 
.4584968 ,.870 ,.051 
.4721358 ,.870 ,.041 
.4835084 ,.848 ,.041 
.5148190 ,.848 ,.031 
.5467905 ,.848 ,.020 
.5647585 ,.826 ,.020 
.5897493 ,.826 ,.010 
.6088016 ,.826 ,.000 
.6639214 ,.804 ,.000 
.7102399 ,.783 ,.000 
.7356284 ,.761 ,.000 
.7703148 ,.739 ,.000 
.7875811 ,.717 ,.000 
.8040784 ,.696 ,.000 
.8185300 ,.674 ,.000 
.8246232 ,.652 ,.000 
.8253629 ,.630 ,.000 
.8260943 ,.609 ,.000 
.8284063 ,.587 ,.000 
.8370464 ,.565 ,.000 
.8467270 ,.543 ,.000 
.8546502 ,.522 ,.000 
.8671439 ,.500 ,.000 
.8754656 ,.478 ,.000 
.8803543 ,.457 ,.000 
.8851944 ,.435 ,.000 
.8882913 ,.413 ,.000 
.8932504 ,.391 ,.000 
.8983725 ,.370 ,.000 
.9016387 ,.348 ,.000 
.9079506 ,.326 ,.000 
.9159740 ,.304 ,.000 
.9192933 ,.283 ,.000 
.9212223 ,.261 ,.000 
.9283017 ,.239 ,.000 
.9355039 ,.217 ,.000 
.9373044 ,.196 ,.000 
.9380472 ,.174 ,.000 
.9388077 ,.152 ,.000 
.9396638 ,.130 ,.000 
.9436600 ,.109 ,.000 
.9482014 ,.087 ,.000 
.9534491 ,.065 ,.000 
.9621559 ,.043 ,.000 
.9789740 ,.022 ,.000 
1.0000000 ,.000 ,.000 
.9934283 ,.043 ,.000 
.9943888 ,.022 ,.000 
1.0000000 ,.000 ,.000 
