Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000162 ,1.000 ,.980 
.0000399 ,1.000 ,.969 
.0000632 ,1.000 ,.959 
.0000828 ,1.000 ,.949 
.0001725 ,1.000 ,.939 
.0003254 ,1.000 ,.929 
.0005531 ,1.000 ,.918 
.0007180 ,1.000 ,.908 
.0008193 ,1.000 ,.898 
.0009854 ,1.000 ,.888 
.0011505 ,1.000 ,.878 
.0014054 ,1.000 ,.867 
.0016390 ,1.000 ,.857 
.0018150 ,1.000 ,.847 
.0019566 ,1.000 ,.837 
.0020902 ,1.000 ,.827 
.0021838 ,1.000 ,.816 
.0022806 ,1.000 ,.806 
.0023984 ,1.000 ,.796 
.0033869 ,.978 ,.796 
.0048343 ,.978 ,.786 
.0054887 ,.978 ,.776 
.0058468 ,.978 ,.765 
.0066469 ,.957 ,.765 
.0073961 ,.957 ,.755 
.0077826 ,.957 ,.745 
.0080557 ,.957 ,.735 
.0090548 ,.957 ,.724 
.0101278 ,.935 ,.724 
.0103469 ,.935 ,.714 
.0121808 ,.935 ,.704 
.0152342 ,.935 ,.694 
.0166278 ,.935 ,.684 
.0169791 ,.935 ,.673 
.0175137 ,.935 ,.663 
.0177577 ,.935 ,.653 
.0177999 ,.935 ,.643 
.0182410 ,.935 ,.633 
.0220876 ,.935 ,.622 
.0273327 ,.935 ,.612 
.0294808 ,.935 ,.602 
.0298270 ,.935 ,.592 
.0299499 ,.935 ,.582 
.0303250 ,.935 ,.571 
.0306410 ,.935 ,.561 
.0306999 ,.935 ,.551 
.0313407 ,.935 ,.541 
.0341539 ,.935 ,.531 
.0375073 ,.935 ,.520 
.0397091 ,.935 ,.510 
.0409284 ,.935 ,.500 
.0417225 ,.935 ,.490 
.0426699 ,.935 ,.480 
.0430359 ,.935 ,.469 
.0435533 ,.935 ,.459 
.0457123 ,.935 ,.449 
.0479755 ,.935 ,.439 
.0549651 ,.935 ,.429 
.0614153 ,.935 ,.418 
.0643242 ,.935 ,.408 
.0678070 ,.935 ,.398 
.0706041 ,.935 ,.388 
.0730445 ,.935 ,.378 
.0735657 ,.935 ,.367 
.0788109 ,.935 ,.357 
.0850028 ,.935 ,.347 
.0901053 ,.935 ,.337 
.0941634 ,.935 ,.327 
.0970419 ,.935 ,.316 
.1092294 ,.935 ,.306 
.1191826 ,.935 ,.296 
.1197820 ,.935 ,.286 
.1209939 ,.935 ,.276 
.1283647 ,.935 ,.265 
.1397046 ,.935 ,.255 
.1455839 ,.935 ,.245 
.1466103 ,.935 ,.235 
.1583989 ,.935 ,.224 
.1736653 ,.935 ,.214 
.1820788 ,.913 ,.214 
.1876411 ,.913 ,.204 
.2022261 ,.913 ,.194 
.2196009 ,.891 ,.194 
.2327549 ,.891 ,.184 
.2441205 ,.891 ,.173 
.2696714 ,.891 ,.163 
.3062279 ,.891 ,.153 
.3490560 ,.891 ,.143 
.3848142 ,.891 ,.133 
.4085770 ,.891 ,.122 
.4431196 ,.891 ,.112 
.4726966 ,.891 ,.102 
.4944968 ,.891 ,.092 
.5046255 ,.891 ,.082 
.5091617 ,.891 ,.071 
.5207578 ,.891 ,.061 
.5324890 ,.891 ,.051 
.5401172 ,.891 ,.041 
.5506573 ,.891 ,.031 
.5573677 ,.891 ,.020 
.5579938 ,.870 ,.020 
.5612357 ,.848 ,.020 
.5687691 ,.826 ,.020 
.5863090 ,.804 ,.020 
.6173530 ,.783 ,.020 
.6372923 ,.761 ,.020 
.6602948 ,.761 ,.010 
.6816402 ,.761 ,.000 
.6938168 ,.739 ,.000 
.7164535 ,.717 ,.000 
.7281826 ,.696 ,.000 
.7370834 ,.674 ,.000 
.7851615 ,.652 ,.000 
.8273764 ,.630 ,.000 
.8332025 ,.609 ,.000 
.8430949 ,.587 ,.000 
.8494529 ,.565 ,.000 
.8497204 ,.543 ,.000 
.8546423 ,.522 ,.000 
.8601164 ,.500 ,.000 
.8610078 ,.478 ,.000 
.8621515 ,.457 ,.000 
.8637372 ,.435 ,.000 
.8652589 ,.413 ,.000 
.8682724 ,.391 ,.000 
.8759738 ,.370 ,.000 
.8816766 ,.348 ,.000 
.8842887 ,.326 ,.000 
.8881762 ,.304 ,.000 
.8906958 ,.283 ,.000 
.8945942 ,.261 ,.000 
.8977032 ,.239 ,.000 
.8987329 ,.217 ,.000 
.9022141 ,.196 ,.000 
.9125570 ,.174 ,.000 
.9243994 ,.152 ,.000 
.9287616 ,.130 ,.000 
.9289354 ,.109 ,.000 
.9310468 ,.087 ,.000 
.9337955 ,.065 ,.000 
.9369543 ,.043 ,.000 
.9471688 ,.022 ,.000 
1.0000000 ,.000 ,.000 
.9943888 ,.022 ,.000 
1.0000000 ,.000 ,.000 
