Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000000 ,1.000 ,.960 
.0000000 ,1.000 ,.950 
.0000000 ,1.000 ,.941 
.0000000 ,1.000 ,.931 
.0000000 ,1.000 ,.921 
.0000000 ,1.000 ,.911 
.0000000 ,1.000 ,.901 
.0000000 ,1.000 ,.891 
.0000000 ,1.000 ,.881 
.0000000 ,1.000 ,.871 
.0000000 ,1.000 ,.861 
.0000000 ,1.000 ,.851 
.0000000 ,1.000 ,.842 
.0000000 ,1.000 ,.832 
.0000000 ,1.000 ,.822 
.0000000 ,1.000 ,.812 
.0000000 ,1.000 ,.802 
.0000000 ,1.000 ,.792 
.0000000 ,1.000 ,.782 
.0000000 ,1.000 ,.772 
.0000000 ,1.000 ,.762 
.0000000 ,1.000 ,.752 
.0000000 ,1.000 ,.743 
.0000000 ,1.000 ,.733 
.0000000 ,1.000 ,.723 
.0000000 ,1.000 ,.713 
.0000000 ,1.000 ,.703 
.0000000 ,1.000 ,.693 
.0000000 ,1.000 ,.683 
.0000001 ,1.000 ,.673 
.0000003 ,1.000 ,.663 
.0000005 ,1.000 ,.653 
.0000006 ,1.000 ,.644 
.0000007 ,1.000 ,.634 
.0000011 ,1.000 ,.624 
.0000015 ,1.000 ,.614 
.0000018 ,1.000 ,.604 
.0000022 ,1.000 ,.594 
.0000025 ,1.000 ,.584 
.0000037 ,1.000 ,.574 
.0000054 ,1.000 ,.564 
.0000068 ,1.000 ,.554 
.0000085 ,1.000 ,.545 
.0000119 ,1.000 ,.535 
.0000149 ,1.000 ,.525 
.0000172 ,1.000 ,.515 
.0000192 ,1.000 ,.505 
.0000209 ,1.000 ,.495 
.0000231 ,1.000 ,.485 
.0000302 ,1.000 ,.475 
.0000421 ,1.000 ,.465 
.0000532 ,1.000 ,.455 
.0000592 ,1.000 ,.446 
.0000665 ,1.000 ,.436 
.0000865 ,1.000 ,.426 
.0001122 ,1.000 ,.416 
.0001305 ,1.000 ,.406 
.0001511 ,1.000 ,.396 
.0001712 ,1.000 ,.386 
.0002078 ,1.000 ,.376 
.0002560 ,1.000 ,.366 
.0003331 ,1.000 ,.356 
.0004409 ,1.000 ,.347 
.0005186 ,1.000 ,.337 
.0006461 ,1.000 ,.327 
.0007997 ,1.000 ,.317 
.0008708 ,1.000 ,.307 
.0010120 ,1.000 ,.297 
.0014338 ,1.000 ,.287 
.0020651 ,1.000 ,.277 
.0028701 ,1.000 ,.267 
.0036063 ,1.000 ,.257 
.0039239 ,1.000 ,.248 
.0048236 ,.978 ,.248 
.0057376 ,.978 ,.238 
.0058805 ,.978 ,.228 
.0059633 ,.978 ,.218 
.0063613 ,.978 ,.208 
.0074014 ,.978 ,.198 
.0096076 ,.978 ,.188 
.0114624 ,.978 ,.178 
.0138033 ,.978 ,.168 
.0181641 ,.978 ,.158 
.0209943 ,.978 ,.149 
.0240544 ,.978 ,.139 
.0282516 ,.978 ,.129 
.0480446 ,.978 ,.119 
.0711656 ,.978 ,.109 
.0823974 ,.978 ,.099 
.1168042 ,.978 ,.089 
.1461573 ,.978 ,.079 
.1573283 ,.978 ,.069 
.1712506 ,.978 ,.059 
.1884839 ,.978 ,.050 
.2262360 ,.978 ,.040 
.3130770 ,.978 ,.030 
.4043951 ,.957 ,.030 
.4476497 ,.957 ,.020 
.5828691 ,.957 ,.010 
.7188667 ,.935 ,.010 
.7622225 ,.935 ,.000 
.8040385 ,.913 ,.000 
.8198450 ,.891 ,.000 
.8612600 ,.870 ,.000 
.9178466 ,.848 ,.000 
.9383214 ,.826 ,.000 
.9426693 ,.804 ,.000 
.9484317 ,.783 ,.000 
.9606801 ,.761 ,.000 
.9693973 ,.739 ,.000 
.9745132 ,.717 ,.000 
.9797940 ,.696 ,.000 
.9810476 ,.674 ,.000 
.9826742 ,.652 ,.000 
.9841720 ,.630 ,.000 
.9849443 ,.609 ,.000 
.9858167 ,.587 ,.000 
.9863985 ,.565 ,.000 
.9868549 ,.543 ,.000 
.9872737 ,.522 ,.000 
.9891599 ,.500 ,.000 
.9906931 ,.478 ,.000 
.9909343 ,.457 ,.000 
.9914782 ,.435 ,.000 
.9918505 ,.413 ,.000 
.9919061 ,.391 ,.000 
.9924816 ,.370 ,.000 
.9932769 ,.348 ,.000 
.9937925 ,.326 ,.000 
.9943773 ,.304 ,.000 
.9950999 ,.283 ,.000 
.9957905 ,.261 ,.000 
.9961919 ,.239 ,.000 
.9963120 ,.217 ,.000 
.9966536 ,.196 ,.000 
.9970211 ,.174 ,.000 
.9973092 ,.152 ,.000 
.9977472 ,.130 ,.000 
.9980532 ,.109 ,.000 
.9982486 ,.087 ,.000 
.9986408 ,.065 ,.000 
.9989495 ,.043 ,.000 
.9990228 ,.022 ,.000 
1.0000000 ,.000 ,.000 
