Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000001 ,1.000 ,.970 
.0000011 ,1.000 ,.960 
.0000040 ,1.000 ,.950 
.0000374 ,1.000 ,.941 
.0000822 ,1.000 ,.931 
.0000963 ,1.000 ,.921 
.0001422 ,1.000 ,.911 
.0001889 ,1.000 ,.901 
.0001907 ,1.000 ,.891 
.0002107 ,1.000 ,.881 
.0002364 ,1.000 ,.871 
.0002631 ,1.000 ,.861 
.0003551 ,1.000 ,.851 
.0004346 ,1.000 ,.842 
.0004759 ,1.000 ,.832 
.0005597 ,1.000 ,.822 
.0006174 ,1.000 ,.812 
.0006458 ,1.000 ,.802 
.0006831 ,1.000 ,.792 
.0007424 ,1.000 ,.782 
.0008137 ,1.000 ,.772 
.0009341 ,.978 ,.772 
.0010748 ,.978 ,.762 
.0011640 ,.978 ,.752 
.0013021 ,.978 ,.743 
.0015128 ,.978 ,.733 
.0016263 ,.978 ,.723 
.0017871 ,.978 ,.713 
.0019655 ,.978 ,.703 
.0020978 ,.978 ,.693 
.0022674 ,.978 ,.683 
.0023724 ,.978 ,.673 
.0026741 ,.978 ,.663 
.0030601 ,.978 ,.653 
.0033597 ,.978 ,.644 
.0039234 ,.978 ,.634 
.0045349 ,.978 ,.624 
.0050263 ,.978 ,.614 
.0057074 ,.978 ,.604 
.0065199 ,.978 ,.594 
.0072655 ,.978 ,.584 
.0077606 ,.978 ,.574 
.0082404 ,.978 ,.564 
.0091097 ,.978 ,.554 
.0109878 ,.978 ,.545 
.0126385 ,.978 ,.535 
.0139699 ,.978 ,.525 
.0149806 ,.978 ,.515 
.0152215 ,.978 ,.505 
.0154668 ,.978 ,.495 
.0161139 ,.978 ,.485 
.0169670 ,.978 ,.475 
.0176441 ,.978 ,.465 
.0185739 ,.978 ,.455 
.0199751 ,.978 ,.446 
.0220072 ,.978 ,.436 
.0289403 ,.978 ,.426 
.0355047 ,.978 ,.416 
.0399993 ,.978 ,.406 
.0447411 ,.978 ,.396 
.0474784 ,.978 ,.386 
.0518122 ,.978 ,.376 
.0580534 ,.978 ,.366 
.0626883 ,.978 ,.356 
.0644689 ,.978 ,.347 
.0675898 ,.978 ,.337 
.0710854 ,.978 ,.327 
.0725846 ,.978 ,.317 
.0752933 ,.978 ,.307 
.0819588 ,.978 ,.297 
.1045989 ,.978 ,.287 
.1242228 ,.978 ,.277 
.1269107 ,.978 ,.267 
.1290888 ,.978 ,.257 
.1333125 ,.978 ,.248 
.1378280 ,.957 ,.248 
.1506176 ,.957 ,.238 
.1658774 ,.957 ,.228 
.1701960 ,.957 ,.218 
.1773911 ,.935 ,.218 
.1839574 ,.935 ,.208 
.1857295 ,.935 ,.198 
.1919566 ,.935 ,.188 
.2080491 ,.935 ,.178 
.2292690 ,.913 ,.178 
.2539061 ,.913 ,.168 
.2690663 ,.913 ,.158 
.2718358 ,.913 ,.149 
.2882000 ,.913 ,.139 
.3104028 ,.891 ,.139 
.3505133 ,.891 ,.129 
.3951519 ,.891 ,.119 
.4083670 ,.891 ,.109 
.4142370 ,.870 ,.109 
.4469729 ,.848 ,.109 
.4810234 ,.848 ,.099 
.4934785 ,.848 ,.089 
.5105259 ,.848 ,.079 
.5280423 ,.848 ,.069 
.5481686 ,.826 ,.069 
.5695122 ,.804 ,.069 
.5773078 ,.783 ,.069 
.5818721 ,.761 ,.069 
.5920596 ,.761 ,.059 
.6100060 ,.739 ,.059 
.6242619 ,.717 ,.059 
.6513710 ,.717 ,.050 
.6770148 ,.717 ,.040 
.6791351 ,.717 ,.030 
.6830443 ,.717 ,.020 
.7041689 ,.696 ,.020 
.7263662 ,.696 ,.010 
.7381449 ,.674 ,.010 
.7573947 ,.652 ,.010 
.7688340 ,.630 ,.010 
.7887572 ,.609 ,.010 
.8106274 ,.609 ,.000 
.8201501 ,.587 ,.000 
.8275806 ,.565 ,.000 
.8352628 ,.543 ,.000 
.8464312 ,.522 ,.000 
.8521473 ,.500 ,.000 
.8554718 ,.478 ,.000 
.8671691 ,.457 ,.000 
.8816324 ,.435 ,.000 
.8877500 ,.413 ,.000 
.8924146 ,.391 ,.000 
.8951470 ,.370 ,.000 
.9039772 ,.348 ,.000 
.9195871 ,.326 ,.000 
.9269729 ,.304 ,.000 
.9285518 ,.283 ,.000 
.9321159 ,.261 ,.000 
.9347644 ,.239 ,.000 
.9362684 ,.217 ,.000 
.9390177 ,.196 ,.000 
.9417475 ,.174 ,.000 
.9433738 ,.152 ,.000 
.9448140 ,.130 ,.000 
.9477935 ,.109 ,.000 
.9520005 ,.087 ,.000 
.9565526 ,.065 ,.000 
.9610297 ,.043 ,.000 
.9671265 ,.022 ,.000 
1.0000000 ,.000 ,.000 
