Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000000 ,1.000 ,.960 
.0000000 ,1.000 ,.950 
.0000000 ,1.000 ,.940 
.0000000 ,1.000 ,.930 
.0000000 ,1.000 ,.920 
.0000000 ,1.000 ,.910 
.0000000 ,1.000 ,.900 
.0000000 ,1.000 ,.890 
.0000000 ,1.000 ,.880 
.0000000 ,1.000 ,.870 
.0000001 ,1.000 ,.860 
.0000001 ,1.000 ,.850 
.0000002 ,1.000 ,.840 
.0000002 ,1.000 ,.830 
.0000004 ,1.000 ,.820 
.0000005 ,1.000 ,.810 
.0000006 ,1.000 ,.800 
.0000006 ,1.000 ,.790 
.0000006 ,1.000 ,.780 
.0000008 ,1.000 ,.770 
.0000012 ,1.000 ,.760 
.0000019 ,1.000 ,.750 
.0000026 ,1.000 ,.740 
.0000027 ,1.000 ,.730 
.0000036 ,1.000 ,.720 
.0000046 ,1.000 ,.710 
.0000050 ,1.000 ,.700 
.0000050 ,1.000 ,.690 
.0000068 ,1.000 ,.680 
.0000099 ,1.000 ,.670 
.0000156 ,1.000 ,.660 
.0000199 ,1.000 ,.650 
.0000209 ,1.000 ,.640 
.0000264 ,1.000 ,.630 
.0000327 ,1.000 ,.620 
.0000391 ,1.000 ,.610 
.0000441 ,1.000 ,.600 
.0000472 ,1.000 ,.590 
.0000501 ,1.000 ,.580 
.0000517 ,1.000 ,.570 
.0000579 ,1.000 ,.560 
.0000668 ,1.000 ,.550 
.0000718 ,1.000 ,.540 
.0000794 ,1.000 ,.530 
.0001112 ,1.000 ,.520 
.0001460 ,1.000 ,.510 
.0002209 ,1.000 ,.500 
.0002909 ,1.000 ,.490 
.0003037 ,1.000 ,.480 
.0003501 ,1.000 ,.470 
.0004339 ,1.000 ,.460 
.0005153 ,1.000 ,.450 
.0005797 ,1.000 ,.440 
.0006830 ,1.000 ,.430 
.0010200 ,1.000 ,.420 
.0013436 ,1.000 ,.410 
.0014412 ,1.000 ,.400 
.0015349 ,1.000 ,.390 
.0016093 ,1.000 ,.380 
.0018242 ,1.000 ,.370 
.0020591 ,1.000 ,.360 
.0021459 ,1.000 ,.350 
.0026159 ,1.000 ,.340 
.0030801 ,1.000 ,.330 
.0033809 ,1.000 ,.320 
.0038644 ,1.000 ,.310 
.0046614 ,1.000 ,.300 
.0068914 ,1.000 ,.290 
.0088787 ,1.000 ,.280 
.0092511 ,1.000 ,.270 
.0095051 ,1.000 ,.260 
.0114049 ,.978 ,.260 
.0139829 ,.978 ,.250 
.0152857 ,.978 ,.240 
.0157127 ,.978 ,.230 
.0175657 ,.978 ,.220 
.0272377 ,.978 ,.210 
.0376322 ,.978 ,.200 
.0411031 ,.978 ,.190 
.0448505 ,.978 ,.180 
.0494141 ,.978 ,.170 
.0535321 ,.978 ,.160 
.0573412 ,.978 ,.150 
.0617600 ,.978 ,.140 
.0659656 ,.978 ,.130 
.0796842 ,.978 ,.120 
.0954431 ,.957 ,.120 
.1050732 ,.935 ,.120 
.1345849 ,.935 ,.110 
.2078061 ,.935 ,.100 
.2719626 ,.935 ,.090 
.2901955 ,.935 ,.080 
.3046532 ,.935 ,.070 
.3257035 ,.935 ,.060 
.3568158 ,.935 ,.050 
.3867337 ,.935 ,.040 
.4476507 ,.935 ,.030 
.5033827 ,.935 ,.020 
.5421272 ,.935 ,.010 
.6006565 ,.935 ,.000 
.7278494 ,.913 ,.000 
.8601458 ,.891 ,.000 
.8997404 ,.870 ,.000 
.9137127 ,.848 ,.000 
.9232299 ,.826 ,.000 
.9317288 ,.804 ,.000 
.9376962 ,.783 ,.000 
.9412964 ,.761 ,.000 
.9428441 ,.739 ,.000 
.9448101 ,.717 ,.000 
.9461613 ,.696 ,.000 
.9490341 ,.674 ,.000 
.9527500 ,.652 ,.000 
.9543088 ,.630 ,.000 
.9545647 ,.609 ,.000 
.9581359 ,.587 ,.000 
.9623222 ,.565 ,.000 
.9656673 ,.543 ,.000 
.9687262 ,.522 ,.000 
.9710076 ,.500 ,.000 
.9730065 ,.478 ,.000 
.9748092 ,.457 ,.000 
.9764104 ,.435 ,.000 
.9772677 ,.413 ,.000 
.9784239 ,.391 ,.000 
.9792703 ,.370 ,.000 
.9806751 ,.348 ,.000 
.9815842 ,.326 ,.000 
.9820426 ,.304 ,.000 
.9830327 ,.283 ,.000 
.9836625 ,.261 ,.000 
.9843891 ,.239 ,.000 
.9866242 ,.217 ,.000 
.9885398 ,.196 ,.000 
.9890727 ,.174 ,.000 
.9893066 ,.152 ,.000 
.9898886 ,.130 ,.000 
.9911903 ,.109 ,.000 
.9923726 ,.087 ,.000 
.9928292 ,.065 ,.000 
.9934283 ,.043 ,.000 
.9943888 ,.022 ,.000 
1.0000000 ,.000 ,.000 
