bone,gender,type,probability,sensitivity,specificity
clavicle,male,mean,0,1,1
clavicle,male,mean,0.0000063,1,0.99
clavicle,male,mean,0.0000147,1,0.98
clavicle,male,mean,0.0000225,1,0.97
clavicle,male,mean,0.0000362,1,0.96
clavicle,male,mean,0.000058,1,0.949
clavicle,male,mean,0.000072,1,0.939
clavicle,male,mean,0.0001071,1,0.929
clavicle,male,mean,0.0001567,1,0.919
clavicle,male,mean,0.0002143,1,0.909
clavicle,male,mean,0.00034,1,0.899
clavicle,male,mean,0.00047,1,0.889
clavicle,male,mean,0.000647,1,0.879
clavicle,male,mean,0.0007905,1,0.869
clavicle,male,mean,0.0008638,1,0.859
clavicle,male,mean,0.0009488,1,0.848
clavicle,male,mean,0.0010748,1,0.838
clavicle,male,mean,0.0012407,1,0.828
clavicle,male,mean,0.0014564,1,0.818
clavicle,male,mean,0.0017765,1,0.808
clavicle,male,mean,0.0020401,1,0.798
clavicle,male,mean,0.0021809,1,0.788
clavicle,male,mean,0.0022778,1,0.778
clavicle,male,mean,0.0023296,1,0.768
clavicle,male,mean,0.002751,1,0.758
clavicle,male,mean,0.0034862,1,0.747
clavicle,male,mean,0.0039209,1,0.737
clavicle,male,mean,0.0049659,1,0.727
clavicle,male,mean,0.0060735,1,0.717
clavicle,male,mean,0.0065427,1,0.707
clavicle,male,mean,0.0085998,1,0.697
clavicle,male,mean,0.0107041,1,0.687
clavicle,male,mean,0.0113799,1,0.677
clavicle,male,mean,0.0117555,1,0.667
clavicle,male,mean,0.0125845,1,0.657
clavicle,male,mean,0.0145824,1,0.646
clavicle,male,mean,0.0161614,0.98,0.646
clavicle,male,mean,0.0175183,0.98,0.636
clavicle,male,mean,0.0191275,0.98,0.626
clavicle,male,mean,0.0212153,0.98,0.616
clavicle,male,mean,0.0227781,0.98,0.606
clavicle,male,mean,0.0241302,0.98,0.596
clavicle,male,mean,0.0254328,0.98,0.586
clavicle,male,mean,0.0274535,0.98,0.576
clavicle,male,mean,0.0306846,0.98,0.566
clavicle,male,mean,0.0321925,0.98,0.556
clavicle,male,mean,0.0329072,0.98,0.545
clavicle,male,mean,0.0344401,0.98,0.535
clavicle,male,mean,0.035644,0.961,0.535
clavicle,male,mean,0.0371206,0.961,0.525
clavicle,male,mean,0.0386952,0.961,0.515
clavicle,male,mean,0.0394049,0.961,0.505
clavicle,male,mean,0.0400116,0.961,0.495
clavicle,male,mean,0.0421722,0.961,0.485
clavicle,male,mean,0.0474525,0.961,0.475
clavicle,male,mean,0.0510534,0.961,0.465
clavicle,male,mean,0.0525054,0.941,0.465
clavicle,male,mean,0.0559187,0.941,0.455
clavicle,male,mean,0.0586628,0.941,0.444
clavicle,male,mean,0.0635767,0.941,0.434
clavicle,male,mean,0.0682062,0.941,0.424
clavicle,male,mean,0.0725335,0.941,0.414
clavicle,male,mean,0.0777414,0.941,0.404
clavicle,male,mean,0.0794241,0.941,0.394
clavicle,male,mean,0.0832568,0.941,0.384
clavicle,male,mean,0.0896147,0.941,0.374
clavicle,male,mean,0.0942661,0.941,0.364
clavicle,male,mean,0.0975684,0.941,0.354
clavicle,male,mean,0.100126,0.941,0.343
clavicle,male,mean,0.1013949,0.941,0.333
clavicle,male,mean,0.1046137,0.941,0.323
clavicle,male,mean,0.1075494,0.941,0.313
clavicle,male,mean,0.1197208,0.941,0.303
clavicle,male,mean,0.1333552,0.941,0.293
clavicle,male,mean,0.1369834,0.941,0.283
clavicle,male,mean,0.1392855,0.941,0.273
clavicle,male,mean,0.1414711,0.922,0.273
clavicle,male,mean,0.1453674,0.902,0.273
clavicle,male,mean,0.1497772,0.902,0.263
clavicle,male,mean,0.1530155,0.902,0.253
clavicle,male,mean,0.1572907,0.902,0.242
clavicle,male,mean,0.1679357,0.902,0.232
clavicle,male,mean,0.1785518,0.902,0.222
clavicle,male,mean,0.1916263,0.902,0.212
clavicle,male,mean,0.2317827,0.902,0.202
clavicle,male,mean,0.263092,0.902,0.192
clavicle,male,mean,0.2666515,0.902,0.182
clavicle,male,mean,0.276005,0.882,0.182
clavicle,male,mean,0.2907731,0.882,0.172
clavicle,male,mean,0.3126189,0.882,0.162
clavicle,male,mean,0.338595,0.882,0.152
clavicle,male,mean,0.364429,0.882,0.141
clavicle,male,mean,0.3984478,0.882,0.131
clavicle,male,mean,0.4225876,0.882,0.121
clavicle,male,mean,0.4378886,0.882,0.111
clavicle,male,mean,0.4495446,0.863,0.111
clavicle,male,mean,0.4500293,0.863,0.101
clavicle,male,mean,0.4782314,0.863,0.091
clavicle,male,mean,0.5178942,0.843,0.091
clavicle,male,mean,0.5362133,0.824,0.091
clavicle,male,mean,0.5502629,0.824,0.081
clavicle,male,mean,0.5612541,0.804,0.081
clavicle,male,mean,0.5660768,0.804,0.071
clavicle,male,mean,0.5677551,0.784,0.071
clavicle,male,mean,0.5747064,0.765,0.071
clavicle,male,mean,0.5886366,0.745,0.071
clavicle,male,mean,0.6012017,0.725,0.071
clavicle,male,mean,0.6067236,0.725,0.061
clavicle,male,mean,0.6209729,0.706,0.061
clavicle,male,mean,0.6491159,0.706,0.051
clavicle,male,mean,0.6708305,0.686,0.051
clavicle,male,mean,0.6825138,0.686,0.04
clavicle,male,mean,0.7005565,0.686,0.03
clavicle,male,mean,0.7166774,0.686,0.02
clavicle,male,mean,0.7226301,0.686,0.01
clavicle,male,mean,0.7306599,0.667,0.01
clavicle,male,mean,0.7377001,0.647,0.01
clavicle,male,mean,0.7557129,0.627,0.01
clavicle,male,mean,0.7743063,0.608,0.01
clavicle,male,mean,0.7785099,0.588,0.01
clavicle,male,mean,0.7810899,0.569,0.01
clavicle,male,mean,0.7986961,0.569,0
clavicle,male,mean,0.8160114,0.549,0
clavicle,male,mean,0.8253312,0.529,0
clavicle,male,mean,0.8458416,0.51,0
clavicle,male,mean,0.8718495,0.49,0
clavicle,male,mean,0.8858623,0.471,0
clavicle,male,mean,0.8881054,0.451,0
clavicle,male,mean,0.88991,0.431,0
clavicle,male,mean,0.896922,0.412,0
clavicle,male,mean,0.9052968,0.392,0
clavicle,male,mean,0.9119503,0.373,0
clavicle,male,mean,0.917993,0.353,0
