Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0000005,1,0.993
0.0000029,1,0.987
0.0000064,1,0.98
0.0000079,1,0.973
0.0000095,1,0.967
0.0000152,1,0.96
0.0000301,1,0.953
0.0000475,1,0.947
0.0000544,1,0.94
0.0000639,1,0.933
0.000085,1,0.927
0.000097,1,0.92
0.0001168,1,0.913
0.0001552,1,0.907
0.0002905,1,0.9
0.0004095,1,0.893
0.0004132,1,0.887
0.0004276,1,0.88
0.0004759,1,0.873
0.0005411,1,0.867
0.0005768,1,0.86
0.0006099,1,0.853
0.0006432,1,0.847
0.000686,1,0.84
0.0007295,1,0.833
0.0007408,1,0.827
0.0007508,1,0.82
0.0007623,1,0.813
0.0007806,1,0.807
0.0007989,1,0.8
0.0008843,1,0.793
0.0010703,1,0.787
0.0012788,1,0.78
0.0014121,1,0.773
0.0014679,1,0.767
0.0015324,1,0.76
0.0016709,1,0.753
0.00183,1,0.747
0.0020661,1,0.74
0.0023227,1,0.733
0.0026174,1,0.727
0.0029439,1,0.72
0.003216,1,0.713
0.0033838,1,0.707
0.0036973,1,0.7
0.0042761,1,0.693
0.0051311,0.98,0.693
0.0057196,0.98,0.687
0.0061623,0.98,0.68
0.0069301,0.98,0.673
0.0073639,0.98,0.667
0.0078278,0.98,0.66
0.0082099,0.98,0.653
0.0082971,0.98,0.647
0.0085619,0.98,0.64
0.009251,0.98,0.633
0.0099238,0.98,0.627
0.0101267,0.98,0.62
0.0104244,0.98,0.613
0.0108591,0.98,0.607
0.011719,0.98,0.6
0.0125892,0.98,0.593
0.0127693,0.98,0.587
0.0128791,0.98,0.58
0.0135615,0.98,0.573
0.0146448,0.98,0.567
0.0152883,0.98,0.56
0.0159683,0.98,0.553
0.0165352,0.961,0.553
0.017315,0.961,0.547
0.0190151,0.961,0.54
0.0200398,0.941,0.54
0.0201617,0.941,0.533
0.0203822,0.941,0.527
0.0211843,0.941,0.52
0.0220768,0.941,0.513
0.0228886,0.941,0.507
0.0243439,0.941,0.5
0.025805,0.941,0.493
0.0269612,0.941,0.487
0.0276974,0.941,0.48
0.0278974,0.941,0.473
0.028171,0.941,0.467
0.0284158,0.941,0.46
0.0284734,0.941,0.453
0.0289979,0.941,0.447
0.0297703,0.941,0.44
0.030279,0.941,0.433
0.0309974,0.941,0.427
0.0320963,0.941,0.42
0.0328021,0.941,0.413
0.0330116,0.941,0.407
0.0343388,0.941,0.4
0.0357459,0.941,0.393
0.036097,0.941,0.387
0.0374089,0.941,0.38
0.0416636,0.941,0.373
0.0455583,0.941,0.367
0.0480004,0.941,0.36
0.0510531,0.941,0.353
0.0531344,0.941,0.347
0.0549601,0.941,0.34
0.0562504,0.941,0.333
0.0572115,0.922,0.333
0.0587302,0.922,0.327
0.0596999,0.922,0.32
0.0636822,0.922,0.313
0.0679379,0.922,0.307
0.0702013,0.922,0.3
0.0745857,0.922,0.293
0.0776545,0.922,0.287
0.0812897,0.922,0.28
0.087496,0.922,0.273
0.0918346,0.922,0.267
0.0935343,0.922,0.26
0.0940333,0.922,0.253
0.0948239,0.922,0.247
0.0986183,0.922,0.24
0.1036814,0.922,0.233
0.1059383,0.922,0.227
0.1100466,0.922,0.22
0.1147805,0.922,0.213
0.1161604,0.922,0.207
0.1232639,0.922,0.2
0.1348557,0.922,0.193
0.1415592,0.922,0.187
0.145836,0.922,0.18
0.1499771,0.922,0.173
0.156489,0.922,0.167
0.1657606,0.902,0.167
0.1725087,0.882,0.167
0.1749537,0.882,0.16
0.1826759,0.882,0.153
0.2041613,0.882,0.147
0.2255063,0.882,0.14
0.2630346,0.882,0.133
0.3055059,0.882,0.127
0.3288393,0.882,0.12
0.3428974,0.882,0.113
0.3515793,0.882,0.107
0.3678422,0.863,0.107
0.3887719,0.863,0.1
0.4081568,0.843,0.1
0.4224936,0.843,0.093
0.4293914,0.843,0.087
0.4311615,0.843,0.08
0.4323947,0.843,0.073
0.441291,0.843,0.067
0.4511957,0.843,0.06
0.4667264,0.843,0.053
0.4802911,0.843,0.047
0.5010611,0.843,0.04
0.530367,0.843,0.033
0.5402788,0.843,0.027
0.5431014,0.824,0.027
0.5449665,0.804,0.027
0.5503956,0.784,0.027
0.5665765,0.784,0.02
0.5856597,0.765,0.02
0.594121,0.745,0.02
0.6105451,0.725,0.02
0.6357083,0.706,0.02
0.6513096,0.686,0.02
0.6810953,0.686,0.013
0.7206956,0.667,0.013
0.7403496,0.647,0.013
0.7441769,0.627,0.013
0.7466606,0.608,0.013
0.7502579,0.608,0.007
0.7615426,0.588,0.007
0.7734624,0.588,0
0.7821962,0.569,0
0.7931996,0.549,0
0.8068586,0.529,0
0.8331734,0.51,0
0.8532029,0.49,0
0.8572393,0.471,0
0.8698958,0.451,0
0.8825474,0.431,0
0.8846693,0.412,0
0.8885217,0.392,0
0.8944934,0.373,0
0.8999646,0.353,0
0.906427,0.333,0
0.9105278,0.314,0
0.9156526,0.294,0
0.9213224,0.275,0
0.9267586,0.255,0
0.9344617,0.235,0
0.9442795,0.216,0
0.9515833,0.196,0
0.9522102,0.176,0
0.9546416,0.157,0
0.9599138,0.137,0
0.9633825,0.118,0
0.963754,0.098,0
0.9656283,0.078,0
0.9696469,0.059,0
0.9767137,0.039,0
0.9824042,0.02,0
1,0,0
