Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000002 ,1.000 ,.990 
.0000006 ,1.000 ,.980 
.0000018 ,.977 ,.980 
.0000042 ,.977 ,.969 
.0000059 ,.977 ,.959 
.0000089 ,.977 ,.949 
.0000116 ,.977 ,.939 
.0000118 ,.977 ,.929 
.0000131 ,.977 ,.918 
.0000148 ,.977 ,.908 
.0000162 ,.977 ,.898 
.0000189 ,.977 ,.888 
.0000216 ,.977 ,.878 
.0000235 ,.977 ,.867 
.0000265 ,.977 ,.857 
.0000307 ,.977 ,.847 
.0000364 ,.977 ,.837 
.0000412 ,.977 ,.827 
.0000491 ,.977 ,.816 
.0000577 ,.977 ,.806 
.0000600 ,.977 ,.796 
.0000612 ,.977 ,.786 
.0000625 ,.977 ,.776 
.0000636 ,.977 ,.765 
.0000668 ,.977 ,.755 
.0000704 ,.977 ,.745 
.0000729 ,.977 ,.735 
.0000757 ,.977 ,.724 
.0000890 ,.977 ,.714 
.0001036 ,.977 ,.704 
.0001171 ,.977 ,.694 
.0001320 ,.977 ,.684 
.0001395 ,.977 ,.673 
.0001591 ,.977 ,.663 
.0002013 ,.977 ,.653 
.0002342 ,.977 ,.643 
.0002414 ,.977 ,.633 
.0002432 ,.977 ,.622 
.0002697 ,.977 ,.612 
.0005348 ,.977 ,.602 
.0008146 ,.977 ,.592 
.0008696 ,.977 ,.582 
.0009607 ,.977 ,.571 
.0010627 ,.977 ,.561 
.0011735 ,.977 ,.551 
.0013298 ,.977 ,.541 
.0015364 ,.977 ,.531 
.0019397 ,.977 ,.520 
.0023082 ,.977 ,.510 
.0024783 ,.977 ,.500 
.0026243 ,.977 ,.490 
.0027862 ,.977 ,.480 
.0042392 ,.977 ,.469 
.0072540 ,.977 ,.459 
.0092229 ,.977 ,.449 
.0113244 ,.977 ,.439 
.0155153 ,.977 ,.429 
.0186875 ,.977 ,.418 
.0214425 ,.977 ,.408 
.0247556 ,.977 ,.398 
.0286296 ,.977 ,.388 
.0314076 ,.977 ,.378 
.0328676 ,.977 ,.367 
.0396090 ,.977 ,.357 
.0458147 ,.977 ,.347 
.0470430 ,.977 ,.337 
.0483548 ,.977 ,.327 
.0519389 ,.977 ,.316 
.0554343 ,.977 ,.306 
.0571991 ,.977 ,.296 
.0591631 ,.977 ,.286 
.0619944 ,.977 ,.276 
.0646983 ,.977 ,.265 
.0662363 ,.977 ,.255 
.0731945 ,.977 ,.245 
.0889215 ,.977 ,.235 
.1075246 ,.977 ,.224 
.1183154 ,.977 ,.214 
.1246765 ,.977 ,.204 
.1337979 ,.977 ,.194 
.1414142 ,.977 ,.184 
.1450086 ,.977 ,.173 
.1531155 ,.977 ,.163 
.1625241 ,.977 ,.153 
.1693355 ,.977 ,.143 
.1995679 ,.977 ,.133 
.2334961 ,.977 ,.122 
.2425737 ,.977 ,.112 
.2639132 ,.977 ,.102 
.3024127 ,.977 ,.092 
.3201912 ,.977 ,.082 
.3339938 ,.977 ,.071 
.3531413 ,.977 ,.061 
.3597022 ,.977 ,.051 
.3726139 ,.977 ,.041 
.4285489 ,.977 ,.031 
.4727496 ,.977 ,.020 
.5307407 ,.955 ,.020 
.5887186 ,.932 ,.020 
.6368158 ,.909 ,.020 
.6851838 ,.886 ,.020 
.6885818 ,.864 ,.020 
.7124530 ,.864 ,.010 
.7365780 ,.841 ,.010 
.7460006 ,.818 ,.010 
.7771094 ,.795 ,.010 
.8041981 ,.773 ,.010 
.8114269 ,.750 ,.010 
.8184383 ,.727 ,.010 
.8217942 ,.705 ,.010 
.8231741 ,.682 ,.010 
.8299749 ,.659 ,.010 
.8420151 ,.636 ,.010 
.8537014 ,.614 ,.010 
.8609752 ,.591 ,.010 
.8660612 ,.568 ,.010 
.8725288 ,.545 ,.010 
.8819070 ,.523 ,.010 
.8908740 ,.500 ,.010 
.8964491 ,.477 ,.010 
.9007764 ,.455 ,.010 
.9020352 ,.432 ,.010 
.9058596 ,.409 ,.010 
.9094162 ,.386 ,.010 
.9116231 ,.364 ,.010 
.9134563 ,.341 ,.010 
.9153828 ,.318 ,.010 
.9180671 ,.295 ,.010 
.9208176 ,.273 ,.010 
.9228197 ,.250 ,.010 
.9229185 ,.250 ,.000 
.9267698 ,.227 ,.000 
.9306703 ,.205 ,.000 
.9316187 ,.182 ,.000 
.9326756 ,.159 ,.000 
.9358868 ,.136 ,.000 
.9394611 ,.114 ,.000 
.9413686 ,.091 ,.000 
.9433134 ,.068 ,.000 
.9452276 ,.045 ,.000 
.9502735 ,.023 ,.000 
1.0000000 ,.000 ,.000 
