Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0001011,1,0.989
0.000185,1,0.979
0.0004144,1,0.968
0.0007227,1,0.957
0.0012488,1,0.947
0.0017878,0.979,0.947
0.0020265,0.979,0.936
0.0023308,0.979,0.926
0.0027127,0.979,0.915
0.0029604,0.958,0.915
0.003054,0.958,0.904
0.0031864,0.958,0.894
0.00339,0.958,0.883
0.0038026,0.958,0.872
0.0057546,0.958,0.862
0.0088842,0.958,0.851
0.0116798,0.958,0.84
0.0133667,0.958,0.83
0.0138369,0.958,0.819
0.0139752,0.958,0.809
0.0140995,0.958,0.798
0.0143789,0.958,0.787
0.0151128,0.958,0.777
0.0163931,0.958,0.766
0.0194925,0.958,0.755
0.0227236,0.958,0.745
0.0237628,0.958,0.734
0.0249614,0.958,0.723
0.0261716,0.958,0.713
0.0270385,0.958,0.702
0.0306288,0.958,0.691
0.0359197,0.958,0.681
0.0390699,0.958,0.67
0.0409141,0.958,0.66
0.0433232,0.958,0.649
0.0450081,0.958,0.638
0.0453884,0.958,0.628
0.0454232,0.958,0.617
0.0473968,0.958,0.606
0.0493564,0.938,0.606
0.0501313,0.938,0.596
0.0535873,0.938,0.585
0.0563034,0.938,0.574
0.0565771,0.938,0.564
0.0571209,0.938,0.553
0.05846,0.938,0.543
0.0601922,0.938,0.532
0.0619504,0.938,0.521
0.0639199,0.938,0.511
0.0690353,0.938,0.5
0.0773434,0.938,0.489
0.0820168,0.938,0.479
0.0831407,0.938,0.468
0.0836991,0.938,0.457
0.0841756,0.938,0.447
0.0854136,0.938,0.436
0.0870649,0.938,0.426
0.0883476,0.938,0.415
0.0915559,0.938,0.404
0.0968849,0.938,0.394
0.1018621,0.938,0.383
0.1056359,0.938,0.372
0.1106713,0.938,0.362
0.1181535,0.938,0.351
0.121932,0.938,0.34
0.1223501,0.938,0.33
0.1239187,0.938,0.319
0.1259219,0.938,0.309
0.1270236,0.938,0.298
0.1342273,0.938,0.287
0.1459652,0.938,0.277
0.1509453,0.917,0.277
0.1663485,0.917,0.266
0.1826424,0.917,0.255
0.191756,0.896,0.255
0.2031163,0.896,0.245
0.2097703,0.896,0.234
0.2235636,0.896,0.223
0.2386816,0.896,0.213
0.2444589,0.896,0.202
0.2544538,0.896,0.191
0.2634307,0.896,0.181
0.2638197,0.896,0.17
0.269308,0.896,0.16
0.274774,0.896,0.149
0.3014477,0.896,0.138
0.3327703,0.896,0.128
0.3401103,0.896,0.117
0.3428199,0.896,0.106
0.3787704,0.896,0.096
0.4153437,0.896,0.085
0.4269407,0.896,0.074
0.4566453,0.875,0.074
0.490986,0.875,0.064
0.5168922,0.854,0.064
0.5402005,0.854,0.053
0.5788011,0.854,0.043
0.610939,0.854,0.032
0.6329904,0.833,0.032
0.6507242,0.813,0.032
0.6745812,0.792,0.032
0.7140897,0.792,0.021
0.7442837,0.792,0.011
0.7655495,0.771,0.011
0.7839662,0.75,0.011
0.7960666,0.729,0.011
0.8024882,0.708,0.011
0.8069143,0.688,0.011
0.8073214,0.667,0.011
0.8088164,0.646,0.011
0.8135534,0.625,0.011
0.8210423,0.604,0.011
0.8282363,0.583,0.011
0.8350819,0.563,0.011
0.8389438,0.563,0
0.8394934,0.542,0
0.8410131,0.521,0
0.8434809,0.5,0
0.8449949,0.479,0
0.8525943,0.458,0
0.8618641,0.438,0
0.865495,0.417,0
0.8675368,0.396,0
0.8692586,0.375,0
0.8713583,0.354,0
0.8779878,0.333,0
0.8855236,0.313,0
0.8869443,0.292,0
0.8896673,0.271,0
0.8932571,0.25,0
0.8952639,0.229,0
0.8980029,0.208,0
0.9030531,0.188,0
0.9079488,0.167,0
0.9119865,0.146,0
0.915381,0.125,0
0.9170816,0.104,0
0.9187539,0.083,0
0.9229163,0.063,0
0.9267678,0.042,0
0.9275133,0.021,0
1,0,0
