Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0000554,1,0.989
0.0000886,1,0.979
0.0002128,1,0.968
0.0006439,1,0.957
0.0010683,0.979,0.957
0.0011834,0.979,0.947
0.001327,0.979,0.936
0.0016369,0.958,0.936
0.0020067,0.958,0.926
0.0022525,0.958,0.915
0.0024928,0.958,0.904
0.002805,0.958,0.894
0.0030639,0.958,0.883
0.0032415,0.958,0.872
0.0037014,0.958,0.862
0.0058315,0.958,0.851
0.0076464,0.958,0.84
0.0079361,0.958,0.83
0.0081261,0.958,0.819
0.0083549,0.958,0.809
0.010019,0.958,0.798
0.0115171,0.958,0.787
0.0117886,0.958,0.777
0.0135191,0.958,0.766
0.01515,0.958,0.755
0.0157961,0.958,0.745
0.0163881,0.958,0.734
0.0168366,0.958,0.723
0.0178808,0.958,0.713
0.0195361,0.958,0.702
0.0225329,0.958,0.691
0.0260654,0.958,0.681
0.0275984,0.958,0.67
0.0277784,0.958,0.66
0.029284,0.958,0.649
0.0316866,0.958,0.638
0.0338372,0.938,0.638
0.0349787,0.938,0.628
0.0361488,0.938,0.617
0.0375444,0.938,0.606
0.0397373,0.938,0.596
0.0424049,0.938,0.585
0.0436492,0.938,0.574
0.0452727,0.938,0.564
0.050097,0.938,0.553
0.0544778,0.938,0.543
0.0558451,0.938,0.532
0.0565996,0.938,0.521
0.0599154,0.938,0.511
0.0632965,0.938,0.5
0.0648631,0.938,0.489
0.0675347,0.938,0.479
0.0694536,0.938,0.468
0.0701411,0.938,0.457
0.0706188,0.938,0.447
0.0745275,0.938,0.436
0.0785783,0.938,0.426
0.0801604,0.938,0.415
0.0834289,0.938,0.404
0.0858042,0.938,0.394
0.088444,0.938,0.383
0.0936742,0.938,0.372
0.0993414,0.938,0.362
0.1083331,0.938,0.351
0.1152687,0.938,0.34
0.1200813,0.938,0.33
0.1239778,0.938,0.319
0.1245461,0.938,0.309
0.1270315,0.938,0.298
0.1293387,0.938,0.287
0.1321985,0.938,0.277
0.1399288,0.938,0.266
0.1563694,0.938,0.255
0.1732361,0.917,0.255
0.1813576,0.896,0.255
0.1840803,0.896,0.245
0.1975801,0.896,0.234
0.2144817,0.896,0.223
0.2280484,0.896,0.213
0.2387677,0.896,0.202
0.2417449,0.896,0.191
0.2441801,0.896,0.181
0.2502505,0.896,0.17
0.2581114,0.896,0.16
0.2613293,0.896,0.149
0.265204,0.896,0.138
0.277932,0.896,0.128
0.3270803,0.896,0.117
0.3765294,0.896,0.106
0.3896985,0.896,0.096
0.3933826,0.896,0.085
0.4143097,0.896,0.074
0.4384107,0.896,0.064
0.4425155,0.875,0.064
0.4557246,0.854,0.064
0.5007634,0.854,0.053
0.5502625,0.854,0.043
0.5821523,0.854,0.032
0.6133753,0.833,0.032
0.6519905,0.813,0.032
0.6776266,0.792,0.032
0.6882283,0.792,0.021
0.7103545,0.792,0.011
0.7356296,0.771,0.011
0.7547371,0.75,0.011
0.7701727,0.729,0.011
0.7823742,0.708,0.011
0.7964006,0.688,0.011
0.8048397,0.667,0.011
0.8086164,0.646,0.011
0.8120545,0.625,0.011
0.8145887,0.604,0.011
0.8284777,0.583,0.011
0.8413836,0.563,0.011
0.8428728,0.563,0
0.8433206,0.542,0
0.8466755,0.521,0
0.8552867,0.5,0
0.8615301,0.479,0
0.8635464,0.458,0
0.8657284,0.438,0
0.8664967,0.417,0
0.8665301,0.396,0
0.8736627,0.375,0
0.8827511,0.354,0
0.8853062,0.333,0
0.8865083,0.313,0
0.8871503,0.292,0
0.8899206,0.271,0
0.8962753,0.25,0
0.9012801,0.229,0
0.9039227,0.208,0
0.90854,0.188,0
0.9146274,0.167,0
0.9196078,0.146,0
0.9221807,0.125,0
0.9228988,0.104,0
0.9245399,0.083,0
0.9261271,0.063,0
0.9291521,0.042,0
0.9334904,0.021,0
1,0,0
