Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0003198,0.98,1
0.0011427,0.98,0.993
0.0018247,0.98,0.987
0.0020731,0.98,0.98
0.0026963,0.961,0.98
0.0033312,0.961,0.973
0.0041944,0.941,0.973
0.0059522,0.941,0.967
0.0099753,0.941,0.96
0.0137607,0.941,0.953
0.0147613,0.941,0.947
0.0151068,0.941,0.94
0.0155358,0.941,0.933
0.0166698,0.941,0.927
0.0179396,0.941,0.92
0.0186881,0.941,0.913
0.0201732,0.941,0.907
0.0216669,0.941,0.9
0.0236109,0.941,0.893
0.0259179,0.941,0.887
0.0269612,0.941,0.88
0.0281999,0.941,0.873
0.03039,0.941,0.867
0.0319171,0.941,0.86
0.0326883,0.941,0.853
0.0334437,0.941,0.847
0.0342333,0.941,0.84
0.0376904,0.941,0.833
0.0408468,0.941,0.827
0.0414857,0.941,0.82
0.0422445,0.941,0.813
0.0427123,0.941,0.807
0.045262,0.941,0.8
0.0483566,0.941,0.793
0.0492136,0.922,0.793
0.0498085,0.922,0.787
0.0516086,0.922,0.78
0.0533875,0.922,0.773
0.0567301,0.922,0.767
0.0612823,0.922,0.76
0.0635684,0.922,0.753
0.064995,0.922,0.747
0.0658454,0.922,0.74
0.0677665,0.922,0.733
0.0708408,0.922,0.727
0.0731331,0.922,0.72
0.0776509,0.922,0.713
0.0822072,0.922,0.707
0.0837258,0.922,0.7
0.0859286,0.922,0.693
0.0882144,0.922,0.687
0.0889207,0.922,0.68
0.0891841,0.922,0.673
0.0900122,0.922,0.667
0.0911028,0.922,0.66
0.0919137,0.922,0.653
0.0924008,0.922,0.647
0.092529,0.922,0.64
0.0933073,0.922,0.633
0.0944192,0.922,0.627
0.0948969,0.922,0.62
0.0954265,0.922,0.613
0.0966795,0.922,0.607
0.104818,0.922,0.6
0.1124601,0.922,0.593
0.1154901,0.922,0.587
0.1195112,0.922,0.58
0.1227501,0.922,0.573
0.1252118,0.922,0.567
0.1264286,0.922,0.56
0.129113,0.922,0.553
0.1336018,0.922,0.547
0.137404,0.922,0.54
0.1418284,0.922,0.533
0.1458146,0.922,0.527
0.1509683,0.922,0.52
0.1591098,0.922,0.513
0.1651126,0.922,0.507
0.1686528,0.922,0.5
0.170288,0.922,0.493
0.171403,0.922,0.487
0.1725734,0.922,0.48
0.1733408,0.922,0.473
0.1747386,0.922,0.467
0.1779035,0.922,0.46
0.181709,0.922,0.453
0.1899627,0.922,0.447
0.1976624,0.922,0.44
0.199516,0.922,0.433
0.2011647,0.922,0.427
0.2032445,0.922,0.42
0.2046388,0.922,0.413
0.2051094,0.922,0.407
0.206634,0.922,0.4
0.2082468,0.922,0.393
0.210591,0.922,0.387
0.213655,0.922,0.38
0.2187384,0.922,0.373
0.2253931,0.922,0.367
0.2295442,0.922,0.36
0.2313863,0.922,0.353
0.2334051,0.922,0.347
0.2354376,0.922,0.34
0.2390124,0.922,0.333
0.2454123,0.922,0.327
0.2488341,0.922,0.32
0.2510018,0.922,0.313
0.2541359,0.922,0.307
0.2564356,0.922,0.3
