Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0,1,1
0.0000001,1,0.99
0.0000055,1,0.98
0.0000111,1,0.971
0.0000146,1,0.961
0.000022,1,0.951
0.0000264,1,0.941
0.000027,1,0.931
0.0000287,1,0.922
0.0000323,1,0.912
0.0000402,1,0.902
0.0000488,1,0.892
0.0000525,1,0.882
0.0000601,1,0.873
0.0000675,1,0.863
0.0000828,1,0.853
0.0001044,1,0.843
0.0001146,1,0.833
0.0001267,1,0.824
0.0001429,1,0.814
0.00015,1,0.804
0.000159,1,0.794
0.0001747,1,0.784
0.0001819,1,0.775
0.0001838,1,0.765
0.0001944,1,0.755
0.0002713,1,0.745
0.0003722,1,0.735
0.0004266,1,0.725
0.000465,1,0.716
0.0004967,1,0.706
0.0005411,1,0.696
0.0005794,1,0.686
0.0005937,1,0.676
0.0006031,1,0.667
0.0006284,1,0.657
0.0006606,1,0.647
0.0007223,1,0.637
0.0007816,1,0.627
0.0008238,0.981,0.627
0.0009502,0.981,0.618
0.0011304,0.981,0.608
0.0013228,0.981,0.598
0.0014732,0.981,0.588
0.0015328,0.981,0.578
0.0015676,0.981,0.569
0.0016583,0.981,0.559
0.0017649,0.981,0.549
0.0018253,0.981,0.539
0.0020406,0.981,0.529
0.0025781,0.962,0.529
0.0029451,0.962,0.52
0.0031027,0.962,0.51
0.0045232,0.962,0.5
0.0061501,0.962,0.49
0.0068494,0.962,0.48
0.0081384,0.962,0.471
0.0090819,0.962,0.461
0.0114762,0.962,0.451
0.0152226,0.962,0.441
0.016782,0.962,0.431
0.018175,0.962,0.422
0.0203193,0.962,0.412
0.0239826,0.962,0.402
0.0270359,0.962,0.392
0.0296926,0.962,0.382
0.0322933,0.962,0.373
0.0330742,0.962,0.363
0.0340093,0.962,0.353
0.0387486,0.962,0.343
0.0433708,0.962,0.333
0.0450974,0.962,0.324
0.0478206,0.962,0.314
0.0592921,0.962,0.304
0.0717838,0.962,0.294
0.0746819,0.962,0.284
0.0812319,0.962,0.275
0.0929227,0.962,0.265
0.1040469,0.962,0.255
0.1115037,0.962,0.245
0.1139611,0.962,0.235
0.1241709,0.962,0.225
0.1383639,0.962,0.216
0.1805946,0.962,0.206
0.2260513,0.962,0.196
0.2381154,0.962,0.186
0.2515915,0.962,0.176
0.26839,0.962,0.167
0.3026706,0.962,0.157
0.3517268,0.962,0.147
0.3745582,0.962,0.137
0.3794463,0.962,0.127
0.3886734,0.962,0.118
0.3954325,0.962,0.108
0.4075338,0.962,0.098
0.4196645,0.942,0.098
0.4246871,0.942,0.088
0.4447413,0.923,0.088
0.4709844,0.904,0.088
0.4819231,0.904,0.078
0.4967856,0.904,0.069
0.5202044,0.885,0.069
0.5329406,0.865,0.069
0.5384,0.865,0.059
0.542524,0.865,0.049
0.5512513,0.865,0.039
0.5676677,0.865,0.029
0.5852963,0.865,0.02
0.6016069,0.846,0.02
0.6357032,0.827,0.02
0.6661714,0.808,0.02
0.6755401,0.788,0.02
0.7207544,0.769,0.02
0.7618207,0.75,0.02
0.7639194,0.75,0.01
0.7678742,0.731,0.01
0.7786563,0.731,0
0.7868645,0.712,0
0.7977385,0.692,0
0.8082801,0.673,0
0.8127929,0.654,0
0.8197082,0.635,0
0.8265928,0.615,0
0.8313013,0.596,0
0.8320854,0.577,0
0.840876,0.558,0
0.85522,0.538,0
0.8684733,0.519,0
0.8822082,0.5,0
0.8887231,0.481,0
0.8893482,0.462,0
0.8947948,0.442,0
0.9024593,0.423,0
0.9055886,0.404,0
0.9096731,0.385,0
0.9136454,0.365,0
0.9143839,0.346,0
0.9193038,0.327,0
0.9241576,0.308,0
0.924491,0.288,0
0.9276597,0.269,0
0.9306141,0.25,0
0.9367958,0.231,0
0.9432409,0.212,0
0.9480947,0.192,0
0.9559292,0.173,0
0.959817,0.154,0
0.961499,0.135,0
0.9634197,0.115,0
0.9656326,0.096,0
0.9679061,0.077,0
0.9688722,0.058,0
0.9689415,0.038,0
0.9728732,0.019,0
1,0,0
