Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000000 ,1.000 ,.960 
.0000000 ,1.000 ,.950 
.0000000 ,1.000 ,.940 
.0000000 ,1.000 ,.930 
.0000000 ,1.000 ,.920 
.0000000 ,1.000 ,.910 
.0000000 ,1.000 ,.900 
.0000000 ,1.000 ,.890 
.0000000 ,1.000 ,.880 
.0000000 ,1.000 ,.870 
.0000000 ,1.000 ,.860 
.0000000 ,1.000 ,.850 
.0000000 ,1.000 ,.840 
.0000000 ,1.000 ,.830 
.0000000 ,1.000 ,.820 
.0000000 ,1.000 ,.810 
.0000000 ,1.000 ,.800 
.0000000 ,1.000 ,.790 
.0000000 ,1.000 ,.780 
.0000000 ,1.000 ,.770 
.0000000 ,1.000 ,.760 
.0000000 ,1.000 ,.750 
.0000000 ,1.000 ,.740 
.0000000 ,1.000 ,.730 
.0000001 ,1.000 ,.720 
.0000001 ,1.000 ,.710 
.0000001 ,1.000 ,.700 
.0000002 ,1.000 ,.690 
.0000002 ,1.000 ,.680 
.0000002 ,1.000 ,.670 
.0000003 ,1.000 ,.660 
.0000005 ,1.000 ,.650 
.0000006 ,1.000 ,.640 
.0000007 ,1.000 ,.630 
.0000010 ,1.000 ,.620 
.0000014 ,1.000 ,.610 
.0000017 ,1.000 ,.600 
.0000020 ,1.000 ,.590 
.0000025 ,1.000 ,.580 
.0000039 ,1.000 ,.570 
.0000053 ,1.000 ,.560 
.0000057 ,1.000 ,.550 
.0000059 ,1.000 ,.540 
.0000068 ,1.000 ,.530 
.0000103 ,1.000 ,.520 
.0000137 ,1.000 ,.510 
.0000148 ,1.000 ,.500 
.0000241 ,1.000 ,.490 
.0000351 ,1.000 ,.480 
.0000382 ,1.000 ,.470 
.0000412 ,1.000 ,.460 
.0000454 ,1.000 ,.450 
.0000527 ,1.000 ,.440 
.0000768 ,1.000 ,.430 
.0001037 ,1.000 ,.420 
.0001175 ,1.000 ,.410 
.0001658 ,1.000 ,.400 
.0002382 ,1.000 ,.390 
.0003040 ,1.000 ,.380 
.0004038 ,1.000 ,.370 
.0004713 ,1.000 ,.360 
.0005854 ,1.000 ,.350 
.0007251 ,1.000 ,.340 
.0009279 ,1.000 ,.330 
.0011125 ,1.000 ,.320 
.0011573 ,1.000 ,.310 
.0012994 ,1.000 ,.300 
.0014087 ,1.000 ,.290 
.0020542 ,1.000 ,.280 
.0028810 ,1.000 ,.270 
.0036655 ,1.000 ,.260 
.0047945 ,1.000 ,.250 
.0054808 ,1.000 ,.240 
.0058869 ,1.000 ,.230 
.0061766 ,1.000 ,.220 
.0067460 ,1.000 ,.210 
.0081697 ,1.000 ,.200 
.0103901 ,1.000 ,.190 
.0120713 ,1.000 ,.180 
.0147290 ,1.000 ,.170 
.0172590 ,1.000 ,.160 
.0177335 ,1.000 ,.150 
.0230021 ,1.000 ,.140 
.0282629 ,1.000 ,.130 
.0300640 ,1.000 ,.120 
.0333294 ,1.000 ,.110 
.0469359 ,1.000 ,.100 
.0738909 ,.978 ,.100 
.0900471 ,.978 ,.090 
.0932535 ,.978 ,.080 
.0992913 ,.978 ,.070 
.1575160 ,.978 ,.060 
.2183280 ,.957 ,.060 
.2253694 ,.957 ,.050 
.2625176 ,.957 ,.040 
.3174808 ,.957 ,.030 
.3678489 ,.935 ,.030 
.4418421 ,.935 ,.020 
.4951822 ,.935 ,.010 
.6786130 ,.935 ,.000 
.8783665 ,.913 ,.000 
.9404351 ,.891 ,.000 
.9784437 ,.870 ,.000 
.9858156 ,.848 ,.000 
.9901517 ,.826 ,.000 
.9910218 ,.804 ,.000 
.9917737 ,.783 ,.000 
.9930021 ,.761 ,.000 
.9944411 ,.739 ,.000 
.9953497 ,.717 ,.000 
.9959100 ,.696 ,.000 
.9963479 ,.674 ,.000 
.9964615 ,.652 ,.000 
.9968276 ,.630 ,.000 
.9971813 ,.609 ,.000 
.9974047 ,.587 ,.000 
.9976833 ,.565 ,.000 
.9978119 ,.543 ,.000 
.9978716 ,.522 ,.000 
.9980864 ,.500 ,.000 
.9983404 ,.478 ,.000 
.9983878 ,.457 ,.000 
.9983938 ,.435 ,.000 
.9983980 ,.413 ,.000 
.9984981 ,.391 ,.000 
.9986348 ,.370 ,.000 
.9987877 ,.348 ,.000 
.9989578 ,.326 ,.000 
.9990136 ,.304 ,.000 
.9990348 ,.283 ,.000 
.9990589 ,.261 ,.000 
.9990862 ,.239 ,.000 
.9991224 ,.217 ,.000 
.9991613 ,.196 ,.000 
.9992016 ,.174 ,.000 
.9993231 ,.152 ,.000 
.9994704 ,.130 ,.000 
.9995235 ,.109 ,.000 
.9996651 ,.087 ,.000 
.9997935 ,.065 ,.000 
.9997986 ,.043 ,.000 
.9998187 ,.022 ,.000 
1.0000000 ,.000 ,.000 
