Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000000 ,1.000 ,.960 
.0000000 ,1.000 ,.950 
.0000000 ,1.000 ,.940 
.0000000 ,1.000 ,.930 
.0000000 ,1.000 ,.920 
.0000000 ,1.000 ,.910 
.0000000 ,1.000 ,.900 
.0000000 ,1.000 ,.890 
.0000000 ,1.000 ,.880 
.0000000 ,1.000 ,.870 
.0000000 ,1.000 ,.860 
.0000000 ,1.000 ,.850 
.0000000 ,1.000 ,.840 
.0000000 ,1.000 ,.830 
.0000000 ,1.000 ,.820 
.0000000 ,1.000 ,.810 
.0000000 ,1.000 ,.800 
.0000000 ,1.000 ,.790 
.0000000 ,1.000 ,.780 
.0000000 ,1.000 ,.770 
.0000000 ,1.000 ,.760 
.0000000 ,1.000 ,.750 
.0000000 ,1.000 ,.740 
.0000000 ,1.000 ,.730 
.0000000 ,1.000 ,.720 
.0000000 ,1.000 ,.710 
.0000000 ,1.000 ,.700 
.0000000 ,1.000 ,.690 
.0000000 ,1.000 ,.680 
.0000000 ,1.000 ,.670 
.0000000 ,1.000 ,.660 
.0000000 ,1.000 ,.650 
.0000000 ,1.000 ,.640 
.0000000 ,1.000 ,.630 
.0000000 ,1.000 ,.620 
.0000000 ,1.000 ,.610 
.0000000 ,1.000 ,.600 
.0000000 ,1.000 ,.590 
.0000001 ,1.000 ,.580 
.0000001 ,1.000 ,.570 
.0000001 ,1.000 ,.560 
.0000001 ,1.000 ,.550 
.0000001 ,1.000 ,.540 
.0000001 ,1.000 ,.530 
.0000003 ,1.000 ,.520 
.0000004 ,1.000 ,.510 
.0000005 ,1.000 ,.500 
.0000006 ,1.000 ,.490 
.0000007 ,1.000 ,.480 
.0000008 ,1.000 ,.470 
.0000010 ,1.000 ,.460 
.0000011 ,1.000 ,.450 
.0000014 ,1.000 ,.440 
.0000021 ,1.000 ,.430 
.0000027 ,1.000 ,.420 
.0000030 ,1.000 ,.410 
.0000031 ,1.000 ,.400 
.0000043 ,1.000 ,.390 
.0000055 ,1.000 ,.380 
.0000058 ,1.000 ,.370 
.0000098 ,1.000 ,.360 
.0000148 ,1.000 ,.350 
.0000171 ,1.000 ,.340 
.0000197 ,1.000 ,.330 
.0000227 ,1.000 ,.320 
.0000494 ,1.000 ,.310 
.0000790 ,1.000 ,.300 
.0000891 ,1.000 ,.290 
.0001150 ,1.000 ,.280 
.0001621 ,1.000 ,.270 
.0002128 ,1.000 ,.260 
.0002570 ,1.000 ,.250 
.0002843 ,1.000 ,.240 
.0002954 ,1.000 ,.230 
.0003127 ,1.000 ,.220 
.0003327 ,1.000 ,.210 
.0003566 ,1.000 ,.200 
.0004079 ,1.000 ,.190 
.0004943 ,1.000 ,.180 
.0006477 ,1.000 ,.170 
.0007509 ,1.000 ,.160 
.0009932 ,1.000 ,.150 
.0012339 ,1.000 ,.140 
.0018350 ,1.000 ,.130 
.0024555 ,1.000 ,.120 
.0048957 ,1.000 ,.110 
.0096887 ,1.000 ,.100 
.0267571 ,1.000 ,.090 
.0488662 ,.977 ,.090 
.0898317 ,.977 ,.080 
.1247224 ,.977 ,.070 
.1441730 ,.977 ,.060 
.1997612 ,.977 ,.050 
.2494504 ,.977 ,.040 
.4072743 ,.977 ,.030 
.5617457 ,.955 ,.030 
.6975196 ,.955 ,.020 
.8898596 ,.932 ,.020 
.9582815 ,.932 ,.010 
.9645321 ,.909 ,.010 
.9710004 ,.886 ,.010 
.9750335 ,.864 ,.010 
.9780237 ,.841 ,.010 
.9834711 ,.818 ,.010 
.9879110 ,.795 ,.010 
.9927641 ,.773 ,.010 
.9968809 ,.750 ,.010 
.9976413 ,.727 ,.010 
.9982392 ,.705 ,.010 
.9985472 ,.682 ,.010 
.9986495 ,.659 ,.010 
.9988258 ,.636 ,.010 
.9989578 ,.614 ,.010 
.9990747 ,.591 ,.010 
.9991964 ,.568 ,.010 
.9992244 ,.545 ,.010 
.9992720 ,.523 ,.010 
.9993297 ,.500 ,.010 
.9993502 ,.477 ,.010 
.9993598 ,.455 ,.010 
.9994194 ,.455 ,.000 
.9995051 ,.432 ,.000 
.9995577 ,.409 ,.000 
.9995927 ,.386 ,.000 
.9996622 ,.364 ,.000 
.9997403 ,.341 ,.000 
.9997942 ,.318 ,.000 
.9998336 ,.295 ,.000 
.9998639 ,.273 ,.000 
.9998880 ,.250 ,.000 
.9998979 ,.227 ,.000 
.9999055 ,.205 ,.000 
.9999102 ,.182 ,.000 
.9999181 ,.159 ,.000 
.9999321 ,.136 ,.000 
.9999457 ,.114 ,.000 
.9999540 ,.091 ,.000 
.9999624 ,.068 ,.000 
.9999786 ,.045 ,.000 
.9999891 ,.023 ,.000 
1.0000000 ,.000 ,.000 
.9610297 ,.043 ,.000 
.9671265 ,.022 ,.000 
1.0000000 ,.000 ,.000 
