Positive if Greater Than or Equal Toa ,Sensitivity ,1 - Specificity 
.0000000 ,1.000 ,1.000 
.0000000 ,1.000 ,.990 
.0000000 ,1.000 ,.980 
.0000000 ,1.000 ,.970 
.0000001 ,1.000 ,.960 
.0000002 ,1.000 ,.950 
.0000009 ,1.000 ,.940 
.0000018 ,1.000 ,.930 
.0000024 ,1.000 ,.920 
.0000032 ,1.000 ,.910 
.0000035 ,1.000 ,.900 
.0000050 ,1.000 ,.890 
.0000086 ,1.000 ,.880 
.0000115 ,1.000 ,.870 
.0000131 ,1.000 ,.860 
.0000228 ,1.000 ,.850 
.0000849 ,1.000 ,.840 
.0001496 ,1.000 ,.830 
.0001933 ,1.000 ,.820 
.0002566 ,1.000 ,.810 
.0002888 ,1.000 ,.800 
.0002952 ,1.000 ,.790 
.0003284 ,1.000 ,.780 
.0004340 ,1.000 ,.770 
.0005157 ,1.000 ,.760 
.0005865 ,1.000 ,.750 
.0006840 ,1.000 ,.740 
.0007243 ,1.000 ,.730 
.0007891 ,1.000 ,.720 
.0012192 ,1.000 ,.710 
.0016364 ,1.000 ,.700 
.0017070 ,1.000 ,.690 
.0019619 ,1.000 ,.680 
.0022596 ,1.000 ,.670 
.0023510 ,1.000 ,.660 
.0025116 ,1.000 ,.650 
.0026593 ,1.000 ,.640 
.0026793 ,1.000 ,.630 
.0027027 ,1.000 ,.620 
.0027708 ,1.000 ,.610 
.0030076 ,1.000 ,.600 
.0037797 ,1.000 ,.590 
.0044912 ,1.000 ,.580 
.0047238 ,1.000 ,.570 
.0049422 ,1.000 ,.560 
.0053450 ,1.000 ,.550 
.0056466 ,1.000 ,.540 
.0056862 ,1.000 ,.530 
.0064728 ,1.000 ,.520 
.0074026 ,1.000 ,.510 
.0077524 ,1.000 ,.500 
.0082262 ,1.000 ,.490 
.0087448 ,1.000 ,.480 
.0090277 ,1.000 ,.470 
.0092499 ,1.000 ,.460 
.0094261 ,1.000 ,.450 
.0099562 ,1.000 ,.440 
.0125132 ,1.000 ,.430 
.0149439 ,1.000 ,.420 
.0154860 ,1.000 ,.410 
.0169205 ,1.000 ,.400 
.0187979 ,1.000 ,.390 
.0199729 ,1.000 ,.380 
.0226624 ,1.000 ,.370 
.0250982 ,1.000 ,.360 
.0262031 ,1.000 ,.350 
.0274973 ,1.000 ,.340 
.0317469 ,1.000 ,.330 
.0393062 ,1.000 ,.320 
.0446577 ,1.000 ,.310 
.0491770 ,.977 ,.310 
.0554086 ,.977 ,.300 
.0588633 ,.977 ,.290 
.0641252 ,.977 ,.280 
.0692147 ,.977 ,.270 
.0723688 ,.977 ,.260 
.0779269 ,.977 ,.250 
.0834651 ,.977 ,.240 
.0884575 ,.977 ,.230 
.0934863 ,.977 ,.220 
.1018364 ,.977 ,.210 
.1125451 ,.977 ,.200 
.1182763 ,.977 ,.190 
.1237287 ,.977 ,.180 
.1373425 ,.977 ,.170 
.1543377 ,.977 ,.160 
.1709493 ,.977 ,.150 
.1803805 ,.955 ,.150 
.2003997 ,.955 ,.140 
.2284122 ,.932 ,.140 
.2491435 ,.932 ,.130 
.2736675 ,.932 ,.120 
.2916694 ,.932 ,.110 
.3076650 ,.932 ,.100 
.3401970 ,.909 ,.100 
.3789215 ,.909 ,.090 
.4226743 ,.909 ,.080 
.4585998 ,.886 ,.080 
.4828606 ,.886 ,.070 
.4975993 ,.864 ,.070 
.5094183 ,.864 ,.060 
.5621475 ,.841 ,.060 
.6083584 ,.818 ,.060 
.6280153 ,.818 ,.050 
.6482059 ,.795 ,.050 
.6715383 ,.773 ,.050 
.6898978 ,.750 ,.050 
.7018945 ,.727 ,.050 
.7144914 ,.705 ,.050 
.7247652 ,.705 ,.040 
.7347865 ,.682 ,.040 
.7520195 ,.659 ,.040 
.7718239 ,.659 ,.030 
.7835945 ,.636 ,.030 
.7923671 ,.614 ,.030 
.8052106 ,.614 ,.020 
.8270776 ,.591 ,.020 
.8377846 ,.568 ,.020 
.8399680 ,.545 ,.020 
.8620763 ,.545 ,.010 
.8833218 ,.523 ,.010 
.8846618 ,.500 ,.010 
.8901048 ,.477 ,.010 
.9062300 ,.455 ,.010 
.9187053 ,.432 ,.010 
.9197828 ,.409 ,.010 
.9207169 ,.386 ,.010 
.9241938 ,.364 ,.010 
.9285020 ,.341 ,.010 
.9318044 ,.318 ,.010 
.9337049 ,.295 ,.010 
.9359680 ,.273 ,.010 
.9458977 ,.250 ,.010 
.9542389 ,.227 ,.010 
.9573873 ,.205 ,.010 
.9664572 ,.182 ,.010 
.9737101 ,.159 ,.010 
.9765441 ,.136 ,.010 
.9786930 ,.114 ,.010 
.9788399 ,.091 ,.010 
.9795714 ,.091 ,.000 
.9806429 ,.068 ,.000 
.9827457 ,.045 ,.000 
.9855561 ,.023 ,.000 
1.0000000 ,.000 ,.000 
.9610297 ,.043 ,.000 
.9671265 ,.022 ,.000 
1.0000000 ,.000 ,.000 
